ABIE/BBIE/ASBIE	Dictionary Entry Name	Definition	Occurrence Min	Occurrence Max
ASBIE	Header_ Trade Agreement. Order Response. Referenced_ Document	The order response document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Contract. Referenced_ Document	A contract document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Demand Forecast. Referenced_ Document	A demand forecast document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Supply Instruction. Referenced_ Document	A supply instruction document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Promotional Deal. Referenced_ Document	The promotional deal document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Price List. Referenced_ Document	The price list document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Additional. Referenced_ Document	An additional document referenced in this header trade agreement.	0	unbounded
ASBIE	Header_ Trade Agreement. Requisitioner. Referenced_ Document	A requisitioner document referenced in this header trade agreement.	0	unbounded
ASBIE	Header_ Trade Agreement. Buyer Agent. Trade_ Party	The buyer agent party for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Purchase_ Conditions. Referenced_ Document	A purchase conditions document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Specified. Procuring_ Project	A procuring project specified for this header chain trade agreement.	0	1
ABIE	Header_ Trade Delivery. Details	Shipping arrangements and movement of products and or services including despatch and delivery at a header level.		
ASBIE	Header_ Trade Delivery. Related. Supply Chain_ Consignment	A consignment, at header level, related to this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Ship To. Trade_ Party	The ship to party, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Ultimate_ Ship To. Trade_ Party	The ultimate ship to party, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Ship From. Trade_ Party	The ship from party, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event	An actual despatch event, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Actual_ Pick-Up. Supply Chain_ Event	The actual pick-up event, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event	An actual delivery event, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Actual_ Receipt. Supply Chain_ Event	The actual receipt event, at header level, for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Additional. Referenced_ Document	An additional document, at header level, referenced for this trade delivery.	0	unbounded
ASBIE	Header_ Trade Delivery. Despatch Advice. Referenced_ Document	The despatch advice document, at header level, referenced for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Receiving Advice. Referenced_ Document	A receiving advice document, at header level, referenced for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Delivery Note. Referenced_ Document	The delivery note document, at header level, referenced for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Consumption Report. Referenced_ Document	The consumption report document, at header level, referenced for this trade delivery.	0	1
ASBIE	Header_ Trade Delivery. Previous_ Delivery. Supply Chain_ Event	A previous delivery event, at header level, for this trade delivery.	0	unbounded
ABIE	Header_ Trade Settlement. Details	The information, at a header level, that enables the reconciliation of a financial transaction, with the item(s) that the financial transaction is intended to settle, such as a commercial invoice.		
BBIE	Header_ Trade Settlement. Due Payable. Amount	A monetary value that is an exact amount due and payable for this header trade settlement, such as the amount due to the creditor.	0	unbounded
BBIE	Header_ Trade Settlement. Creditor Reference Type. Code	A code specifying the creditor reference type for this header trade settlement.	0	unbounded
BBIE	Header_ Trade Settlement. Creditor Reference Type. Text	A creditor reference type, expressed as text, for this header trade settlement.	0	unbounded
BBIE	Header_ Trade Settlement. Creditor Reference Issuer. Identifier	An identifier of the creditor reference issuer for this header trade settlement.	0	unbounded
BBIE	Header_ Trade Settlement. Creditor Reference. Identifier	The identifier of the creditor reference for this header trade settlement, such as a specific identifier assigned by the creditor to reference the financial transaction.	0	1
BBIE	Header_ Trade Settlement. Payment Reference. Text	A payment reference, expressed as text, for this header trade settlement.	0	unbounded
BBIE	Header_ Trade Settlement. Tax_ Currency. Code	The code specifying the tax currency for this header trade settlement.	0	1
BBIE	Header_ Trade Settlement. Invoice_ Currency. Code	The code specifying the invoice currency for this header trade settlement.	0	1
BBIE	Header_ Trade Settlement. Payment_ Currency. Code	The code specifying the payment currency for this header trade settlement.	0	1
BBIE	Header_ Trade Settlement. Invoice Issuer_ Reference. Text	The invoice issuer reference, expressed as text, for this header trade settlement.	0	1
BBIE	Header_ Trade Settlement. Invoice. Date Time	The date, time, date time or other date time value of the invoice in this header trade settlement.	0	1
BBIE	Header_ Trade Settlement. Next_ Invoice. Date Time	A date, time, date time or other date time value of a next invoice or invoices in this header trade settlement.	0	unbounded
BBIE	Header_ Trade Settlement. Credit Reason. Code	The code specifying the reason for a credit being given in this header trade settlement.	0	1
BBIE	Header_ Trade Settlement. Credit Reason. Text	A textual description of the reason for a credit being given in this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Invoicer. Trade_ Party	The party issuing the invoice for this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Invoicee. Trade_ Party	The party to whom an invoice is issued for this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Payee. Trade_ Party	A payee party for this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Payer. Trade_ Party	The payer party for this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Tax_ Applicable. Trade_ Currency Exchange	A currency exchange applicable to a tax in this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Invoice_ Applicable. Trade_ Currency Exchange	The currency exchange applicable to the invoice in this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Payment_ Applicable. Trade_ Currency Exchange	The currency exchange applicable to the payment in this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Specified. Trade Settlement_ Payment Means	A payment means specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Applicable. Trade_ Tax	A tax applicable to this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Billing. Specified_ Period	A billing period specified for this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Specified. Trade_ Allowance Charge	An allowance or charge specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Subtotal_ Calculated. Trade_ Tax	A tax subtotal calculated for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Specified. Logistics_ Service Charge	A logistics service charge specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Specified. Trade_ Payment	Payment terms specified for this header trade settlement.Terms	0	unbounded				
ASBIE	Header_ Trade Settlement. Specified. Trade Settlement Header_ Monetary Summation	The monetary summation totals specified for this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Specified. Financial_ Adjustment	A financial adjustment specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Invoice. Referenced_ Document	The invoice document referenced by this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Pro-Forma Invoice. Referenced_ Document	The pro-forma invoice document referenced by this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Letter Of Credit. Referenced_ Document	The letter of credit document referenced in this header trade settlement.	0	1
ASBIE	Header_ Trade Settlement. Factoring Agreement. Referenced_ Document	A factoring agreement document referenced in this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Factoring List. Referenced_ Document	A factoring list document referenced in this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Payable_ Specified. Trade_ Accounting Account	A payable accounting account specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Receivable_ Specified. Trade_ Accounting Account	A receivable accounting account specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Purchase_ Specified. Trade_ Accounting Account	A purchase accounting account specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Sales_ Specified. Trade_ Accounting Account	A sales accounting account specified for this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Specified. Trade Settlement_ Financial Card	A financial card specified in this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Specified. Advance_ Payment	An advance payment specified in this header trade settlement.	0	unbounded
ASBIE	Header_ Trade Settlement. Ultimate_ Payee. Trade_ Party	An ultimate payee party in this header trade settlement.	0	1
ABIE	Legal_ Organization. Details	An organization set up on a legal basis as a business, government body, department, charity, or financial institution.		
BBIE	Legal_ Organization. Legal Classification. Code	The code specifying the legal classification of this organization, such as Incorporated (Inc), Limited Liability Corporation (LLC) or non-profit.	0	1
BBIE	Legal_ Organization. Name. Text	A name, expressed as text, of this legally set up organization.	0	1
BBIE	Legal_ Organization. Identification. Identifier	A unique identifier for this legally set up organization.	0	1
BBIE	Legal_ Organization. Trading Business Name. Text	The trading business name, expressed as text, of this legally set up organization.	0	1
ASBIE	Legal_ Organization. Postal. Trade_ Address	A postal address for this legally set up organization.	0	1
ASBIE	Legal_ Organization. Authorized. Legal_ Registration	A legal registration authorized for this legally set up organization.	0	unbounded
ABIE	Legal_ Registration. Details	The recording of items or details for a specific legal purpose.		
BBIE	Legal_ Registration. Type. Code	A code specifying the type of this legal registration.	0	1
BBIE	Legal_ Registration. Identification. Identifier	A unique identifier for this legal registration.	0	1
ABIE	Line_ Trade Agreement. Details	The contractual terms of a line trade agreement.		
BBIE	Line_ Trade Agreement. Buyer_ Reference. Text	A buyer reference, expressed as text, for this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Buyer_ Requisitioner. Trade_ Party	A party who is a buyer requisitioner in this line trade agreement.	0	unbounded
ASBIE	Line_ Trade Agreement. Applicable. Trade_ Delivery Terms	The terms of delivery applicable to this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Seller_ Order. Referenced_ Document	The seller generated order document referenced in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Buyer_ Order. Referenced_ Document	A buyer generated order document referenced in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Quotation. Referenced_ Document	The quotation document referenced in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Contract. Referenced_ Document	A contract document referenced in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Demand Forecast. Referenced_ Document	A demand forecast document referenced in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Promotional Deal. Referenced_ Document	The promotional deal document referenced in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Additional. Referenced_ Document	An additional document referenced in this line trade agreement.	0	unbounded
ASBIE	Line_ Trade Agreement. Gross Price_ Product. Trade_ Price	A gross product price in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Net Price_ Product. Trade_ Price	A net product price in this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Requisitioner. Referenced_ Document	A requisitioner document referenced in this line trade agreement.	0	unbounded
ASBIE	Line_ Trade Agreement. Item_ Seller. Trade_ Party	The item seller party, such as an auction item seller, for this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Item_ Buyer. Trade_ Party	The item buyer party, such as an auction item buyer, for this line trade agreement.	0	1
ASBIE	Line_ Trade Agreement. Included. Specified_ Marketplace	A marketplace included in this line trade agreement.	0	1
ABIE	Line_ Trade Delivery. Details	Shipping arrangements and movement of products and or services including despatch and delivery at a line level.		
BBIE	Line_ Trade Delivery. Requested. Quantity	The quantity, at line level, requested for this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Received. Quantity	The quantity, at line level, received for this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Despatched. Quantity	The quantity despatched in this line trade delivery.	0	1
BBIE	Line_ Trade Delivery. Billed. Quantity	The quantity, at line level, billed for in this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Charge Free. Quantity	The quantity, at line level, free of charge, in this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Package. Quantity	The number of packages, at line level, in this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Product_ Unit. Quantity	The number of product units, at line level, in this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Per Package_ Unit. Quantity	The number of units per package, at line level, in this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Net Weight. Measure	The measure, at line level, of the net weight (mass) of this trade delivery.	0	1
BBIE	Line_ Trade Delivery. Gross Weight. Measure	The measure, at line level, of the gross weight (mass) of this line trade delivery.	0	1
BBIE	Line_ Trade Delivery. Theoretical Weight. Measure	The measure, at line level, of the theoretical weight of this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Specified. Delivery_ Adjustment	A delivery adjustment, at line level, specified for this trade delivery.	0	unbounded
ASBIE	Line_ Trade Delivery. Included. Supply Chain_ Packaging	Packaging included, at line level, in this trade delivery.	0	unbounded
ASBIE	Line_ Trade Delivery. Related. Supply Chain_ Consignment	A consignment, at line level, related to this line trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Ship To. Trade_ Party	The ship to party, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Ultimate_ Ship To. Trade_ Party	The ultimate ship to party, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Ship From. Trade_ Party	The ship from party, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event	An actual despatch event, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Actual_ Pick-Up. Supply Chain_ Event	The actual pick-up event, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Requested_ Delivery. Supply Chain_ Event	A delivery event, at line level, requested for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event	An actual delivery event, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Actual_ Receipt. Supply Chain_ Event	The actual receipt event, at line level, for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Additional. Referenced_ Document	An additional document, at line level, referenced for this trade delivery.	0	unbounded
ASBIE	Line_ Trade Delivery. Despatch Advice. Referenced_ Document	The despatch advice document, at line level, referenced for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Receiving Advice. Referenced_ Document	A receiving advice document, at line level, referenced for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Delivery Note. Referenced_ Document	The delivery note document, at line level, referenced for this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Consumption Report. Referenced_ Document	The consumption report document, at line level, referenced from this trade delivery.	0	1
ASBIE	Line_ Trade Delivery. Packing List. Referenced_ Document	The packing list document, at line level, referenced for this trade delivery.	0	1
ABIE	Line_ Trade Settlement. Details	The information, at a line level, that enables the reconciliation of a financial transaction with the item(s) that the financial transaction is intended to settle, for example a commercial invoice.		
BBIE	Line_ Trade Settlement. Payment Reference. Text	A payment reference, expressed as text, for this line trade settlement.	0	unbounded
BBIE	Line_ Trade Settlement. Total_ Adjustment. Amount	The monetary value of the total adjustment for this line trade settlement.	0	1
BBIE	Line_ Trade Settlement. Discount. Indicator	The indication of whether or not a discount applies the item in this line trade settlement.	0	1
BBIE	Line_ Trade Settlement. Invoice Issuer_ Reference. Text	The invoice issuer reference, expressed as text, for this line settlement.	0	1
ASBIE	Line_ Trade Settlement. Applicable. Trade_ Tax	A tax applicable to this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Billing. Specified_ Period	A billing period specified for this line trade settlement.	0	1
ASBIE	Line_ Trade Settlement. Specified. Trade_ Allowance Charge	An allowance or charge specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Subtotal_ Calculated. Trade_ Tax	A tax subtotal calculated for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Specified. Logistics_ Service Charge	A logistics service charge specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Specified. Trade_ Payment Terms	Payment terms specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Specified. Trade Settlement Line_ Monetary Summation	The monetary summation totals specified for this line trade settlement.	0	1
ASBIE	Line_ Trade Settlement. Specified. Financial_ Adjustment	A financial adjustment specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Invoice. Referenced_ Document	The invoice document referenced in this line trade settlement.	0	1
ASBIE	Line_ Trade Settlement. Additional. Referenced_ Document	An additional document referenced in this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Payable_ Specified. Trade_ Accounting Account	A payable accounting account specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Receivable_ Specified. Trade_ Accounting Account	A receivable accounting account specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Purchase_ Specified. Trade_ Accounting Account	A purchase accounting account specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Sales_ Specified. Trade_ Accounting Account	A sales accounting account specified for this line trade settlement.	0	unbounded
ASBIE	Line_ Trade Settlement. Specified. Trade Settlement_ Financial Card	A financial card specified in this line trade settlement.	0	1
ABIE	Logistics_ Location. Details	A logistics related physical location or place.		
BBIE	Logistics_ Location. Identification. Identifier	A unique identifier for this logistics related location, such as a United Nations Location Code (UNLOCODE) or GS1 Global Location Number (GLN).	0	1
BBIE	Logistics_ Location. Name. Text	A name, expressed as text, of this logistics related location.	0	unbounded
BBIE	Logistics_ Location. Type. Code	A code specifying the type of this logistics related location.	0	1
BBIE	Logistics_ Location. Description. Text	A textual description of this logistics related location.	0	unbounded
ASBIE	Logistics_ Location. Physical. Geographical Coordinate	Geographical coordinate information for this logistics related location.	0	1
ASBIE	Logistics_ Location. Postal. Trade_ Address	The postal trade address information for this logistics related location.	0	1
ABIE	Logistics_ Service Charge. Details	A charge made for a logistics related service.		
BBIE	Logistics_ Service Charge. Identification. Identifier	The unique identifier for this logistics service charge.	0	1
BBIE	Logistics_ Service Charge. Description. Text	A textual description of this logistics service charge.	0	unbounded
BBIE	Logistics_ Service Charge. Payment Arrangement. Code	The code specifying the payment arrangement for this logistics service charge [Reference United Nations Code List (UNCL) 4237].	0	1
BBIE	Logistics_ Service Charge. Tariff Class. Code	The code specifying the tariff class for this logistics service charge which represents an entry in a table of fixed charges [Reference United Nations Code List (UNCL) 5243].	0	1
BBIE	Logistics_ Service Charge. Charge_ Category. Code	The code specifying the category of charge for this logistics service charge.	0	1
BBIE	Logistics_ Service Charge. Service_ Category. Code	The code specifying the category of service for this logistics service charge.	0	1
BBIE	Logistics_ Service Charge. Disbursement. Amount	A monetary value of a disbursement for this logistics service charge.	0	unbounded
BBIE	Logistics_ Service Charge. Applied. Amount	A monetary value applied to this logistics service charge.	0	unbounded
BBIE	Logistics_ Service Charge. Allowance Charge. Text	The allowance or charge, expressed as text, for this logistics service charge.	0	1
BBIE	Logistics_ Service Charge. Paying Party Role. Code	The code specifying the role of the party responsible for paying this logistics service charge.	0	1
BBIE	Logistics_ Service Charge. Calculation Basis. Code	The code specifying a basis on which this logistics service charge is to be calculated, such as by volume or per unit.	0	1
BBIE	Logistics_ Service Charge. Calculation Basis. Text	The basis, expressed as text, on which this logistics service charge is to be calculated, such as by volume or per unit.	0	1
BBIE	Logistics_ Service Charge. Transport Payment Method. Code	The code specifying the transport payment method for this logistics service charge.	0	1
ASBIE	Logistics_ Service Charge. Payment Place. Logistics_ Location	The location of the place of payment of this logistics service charge.	0	1
ASBIE	Logistics_ Service Charge. Applied From. Logistics_ Location	The start location from which this logistics service charge should be applied.	0	1
ASBIE	Logistics_ Service Charge. Applied To. Logistics_ Location	The end location at which this logistics service charge is no longer to be applied.	0	1
ASBIE	Logistics_ Service Charge. Applied. Trade_ Tax	A tax that is applied to this logistics service charge.	0	unbounded
ABIE	Logistics_ Transport Equipment. Details	A piece of equipment used to hold, protect or secure cargo for logistics purposes.		
BBIE	Logistics_ Transport Equipment. Identification. Identifier	The unique identifier of this piece of logistics transport equipment.	0	1
BBIE	Logistics_ Transport Equipment. Loading Length. Measure	The measure of the loading length of this piece of logistics transport equipment.	0	1
BBIE	Logistics_ Transport Equipment. Category. Code	The code specifying the category for this piece of logistics transport equipment, such as container or trailer.	0	1
BBIE	Logistics_ Transport Equipment. Characteristic. Code	The code specifying the characteristic or characteristics of this piece of logistics transport equipment, such as the ISO 6346 transport equipment size and type code.	0	1
BBIE	Logistics_ Transport Equipment. Used Capacity. Code	The code specifying the used capacity of this piece of logistics transport equipment, such as full or empty.	0	1
ASBIE	Logistics_ Transport Equipment. Linear. Spatial_ Dimension	The linear spatial dimensions of this piece of logistics transport equipment.	0	1
ABIE	Logistics_ Transport Means. Details	The devices used to convey goods or other objects from place to place during logistics cargo movements.		
BBIE	Logistics_ Transport Means. Type. Code	The code specifying the type of logistics means of transport (Reference UNECE Recommendation 28).	0	1
BBIE	Logistics_ Transport Means. Type. Text	The type, expressed as text, of this logistics means of transport.	0	1
BBIE	Logistics_ Transport Means. Identification. Identifier	An identifier of this logistics means of transport, such as the International Maritime Organization number of a vessel.	0	1
BBIE	Logistics_ Transport Means. Name. Text	The name, expressed as text, of this logistics means of transport.	0	1
ASBIE	Logistics_ Transport Means. Owner. Trade_ Party	The party owning this logistics means of transport.	0	1
ABIE	Logistics_ Transport Movement. Details	The conveyance (physical carriage) of goods or other objects used for logistics transport purposes.		
BBIE	Logistics_ Transport Movement. Stage. Code	The code specifying the stage of this logistics transport movement.	0	1
BBIE	Logistics_ Transport Movement. Mode. Code	The code specifying the mode, such as by air, sea, rail, road or inland waterway, for this logistics transport movement.	0	1
BBIE	Logistics_ Transport Movement. Mode. Text	The mode, expressed as text, of this logistics transport movement.	0	1
ASBIE	Logistics_ Transport Movement. Used. Logistics_ Transport Means	The means of transport used for this logistics transport movement.	0	1
ABIE	Material_ Goods Characteristic. Details	A distinctive feature of a material contained within physical goods.		
BBIE	Material_ Goods Characteristic. Description. Text	A textual description of this material goods characteristic.	0	unbounded
BBIE	Material_ Goods Characteristic. Type. Code	The code specifying the type of material goods characteristic.	0	1
BBIE	Material_ Goods Characteristic. Proportional_ Constituent. Percent	The percentage presence of the material within the goods for this material goods characteristic.	0	1
BBIE	Material_ Goods Characteristic. Absolute Presence_ Weight. Measure	The weight measure of the absolute presence of this material goods characteristic.	0	1
BBIE	Material_ Goods Characteristic. Absolute Presence_ Volume. Measure	The volume measure of the absolute presence of this material goods characteristic.	0	1
ABIE	Note. Details	A textual or coded description, such as a remark or additional information.		
BBIE	Note. Subject. Text	The subject, expressed as text, of this note.	0	1
BBIE	Note. Content. Code	A code specifying the content of this note.	0	1
BBIE	Note. Content. Text	A content, expressed as text, of this note.	0	unbounded
BBIE	Note. Subject. Code	The code specifying the subject of this note.	0	1
BBIE	Note. Identification. Identifier	A unique identifier for this note.	0	1
ABIE	Packaging_ Marking. Details	An inscription, stamp or label on packaging, such as to indicate date, ownership, quality, manufacture or origin.		
BBIE	Packaging_ Marking. Type. Code	A code specifying a type of packaging marking.	0	unbounded
BBIE	Packaging_ Marking. Content. Text	Content, expressed as text, of this packaging marking.	0	unbounded
BBIE	Packaging_ Marking. Content. Date Time	The date, time, date time or other date time value for the content of this packaging marking.	0	1
BBIE	Packaging_ Marking. Content. Amount	Content, expressed as a monetary amount, for this packaging marking.	0	unbounded
BBIE	Packaging_ Marking. Barcode_ Type. Code	A code specifying a type of barcode for this packaging marking.	0	unbounded
BBIE	Packaging_ Marking. Content. Code	Content, expressed as a code, of this packaging marking.	0	unbounded
BBIE	Packaging_ Marking. Automatic Data Capture Method_ Type. Code	A code specifying an automatic data capture method type for this packaging marking.	0	unbounded
ABIE	Procuring_ Project. Details	An endeavour carefully planned to achieve a procurement of goods, works and service.		
BBIE	Procuring_ Project. Identification. Identifier	The unique identifier of this procuring project.	1	1
BBIE	Procuring_ Project. Description. Text	The textual description of this procuring project.	0	1
BBIE	Procuring_ Project. Name. Text	The name, expressed as text, of this procuring project.	1	1
ABIE	Product Characteristic_ Condition. Details	A state that applies to a product characteristic.		
BBIE	Product Characteristic_ Condition. Type. Code	The code specifying the type of product characteristic condition.	0	1
BBIE	Product Characteristic_ Condition. Name. Text	A name, expressed as text, for this product characteristic condition.	0	unbounded
BBIE	Product Characteristic_ Condition. Value. Measure	The measure of the value for this product characteristic condition.	0	1
ABIE	Product_ Characteristic. Details	A prominent attribute or aspect of a product.		
BBIE	Product_ Characteristic. Identification. Identifier	A unique identifier for this product characteristic.	0	unbounded
BBIE	Product_ Characteristic. Type. Code	A code specifying a type of product characteristic.	0	1
BBIE	Product_ Characteristic. Description. Text	A textual description of this product characteristic.	0	unbounded
BBIE	Product_ Characteristic. Value. Measure	A measure of a value for this product characteristic.	0	1
BBIE	Product_ Characteristic. Measurement Method. Code	A code specifying a measurement method for this product characteristic.	0	1
BBIE	Product_ Characteristic. Value. Text	A value, expressed as text, for this product characteristic.	0	unbounded
BBIE	Product_ Characteristic. Value. Code	The code specifying the value of this product characteristic.	0	1
BBIE	Product_ Characteristic. Value. Date Time	The value for this product characteristic expressed as a date, time, date time, or other date time value.	0	1
BBIE	Product_ Characteristic. Value. Indicator	The value for this product characteristic expressed as an indicator.	0	1
BBIE	Product_ Characteristic. Content_ Type. Code	The code specifying the content type of this product characteristic.	0	1
ASBIE	Product_ Characteristic. Value. Specified_ Binary File	The value for this product characteristic expressed in a binary file.	0	1
ASBIE	Product_ Characteristic. Applicable. Product Characteristic_ Condition	A condition applicable to this product characteristic.	0	unbounded
ASBIE	Product_ Characteristic. Applicable. Referenced_ Standard	The referenced standard that is applicable to this product characteristic.	0	1
ABIE	Product_ Classification. Details	A systematic arrangement of products in classes or categories according to established criteria.		
BBIE	Product_ Classification. System. Identifier	The unique identifier of the classification system for this product classification.	0	1
BBIE	Product_ Classification. System Name. Text	A name, expressed as text, of the classification system for this product classification.	0	unbounded
BBIE	Product_ Classification. Class. Code	The code specifying the class for this product classification.	0	1
BBIE	Product_ Classification. Class Name. Text	A class name, expressed as text, for this product classification.	0	unbounded
BBIE	Product_ Classification. Sub_ Class. Code	The code specifying the sub class for this product classification.	0	1
ASBIE	Product_ Classification. Class. Product_ Characteristic	A product class characteristic for this product classification.	0	unbounded
ASBIE	Product_ Classification. Applicable. Referenced_ Standard	The referenced standard that is applicable to this product classification.	0	1
ABIE	Recorded_ Status. Details	Recorded information relevant to a condition or a position of an object.		
BBIE	Recorded_ Status. Condition. Code	The code specifying the condition for this recorded status.	1	1
BBIE	Recorded_ Status. Changer Name. Text	The name of the person or system, expressed as text, that changed this recorded status.	0	1
BBIE	Recorded_ Status. Changed. Date Time	The date, time, date time, or other date time value when this recorded status changed.	1	1
ABIE	Referenced_ Document. Details	Written, printed or electronic matter that is referenced.		
BBIE	Referenced_ Document. Issuer Assigned_ Identification. Identifier	The unique issuer assigned identifier for this referenced document.	0	1
BBIE	Referenced_ Document. URI_ Identification. Identifier	The unique Uniform Resource Identifier (URI) for this referenced document.	0	1
BBIE	Referenced_ Document. Issue. Date Time	The date or date time for the issuance of this referenced document.	0	1
BBIE	Referenced_ Document. Status. Code	The code specifying the status for this referenced document.	0	1
BBIE	Referenced_ Document. Copy. Indicator	The indication of whether or not the referenced document is a copy.	0	1
BBIE	Referenced_ Document. Line. Identifier	The unique identifier of a line in this referenced document.	0	1
BBIE	Referenced_ Document. Type. Code	The code specifying the type of referenced document.	0	1
BBIE	Referenced_ Document. Global_ Identification. Identifier	A unique global identifier for this referenced document.	0	1
BBIE	Referenced_ Document. Revision_ Identification. Identifier	A unique identifier for a revision of this referenced document.	0	1
BBIE	Referenced_ Document. Name. Text	A name, expressed as text, for this referenced document.	0	unbounded
BBIE	Referenced_ Document. Attachment. Binary Object	A binary object that is attached or otherwise appended to this referenced document.	0	unbounded
BBIE	Referenced_ Document. Information. Text	Information, expressed as text, for this referenced document.	0	unbounded
