ID	Level	Card.	BusinessTerm	Desc.	UsageNote	ReqID	SemanticDataType
BT-125		1..1	Attached document Mime code	The mime code of the attached document.	Allowed mime codes: - application/pdf - image/png - image/jpeg - text/csv - application/vnd.openxmlformats-officedocument.spreadsheetml.sheet - application/vnd.oasis.opendocument.spreadsheet		
BT-125		1..1	Attached document Filename	The file name of the attached document			
BG-25	+	l..n	INVOICE LINE	A group of business terms providing information on individual Invoice lines.		R17,R23,R27	
BT-126	++	1..1	Invoice line identifier	A unique identifier for the individual line within the Invoice.		R44	Identifier
BT-127	++	0..1	Invoice line note	A textual note that gives unstructured information that is relevant to the Invoice line.		R28	Text
BT-128	++	0..1	Invoice line object identifier	An identifier for an object on which the invoice line is based, given by the Seller.	It may be a subscription number, telephone number, meter point etc., as applicable.	R33	Identifier
BT-128		0..1	Scheme identifier	The identification scheme identifier of the Invoice line object identifier.	If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.		
BT-129	++	1..1	Invoiced quantity	The quantity of items (goods or services) that is charged in the Invoice line.		R39,R56	Quantity
BT-130	++	1..1	Invoiced quantity unit of measure code	The unit of measure that applies to the invoiced quantity.	The unit of measure shall be chosen from the lists in UN/ECE Recommendation N��. 20 'Codes for Units of Measure Used in International Trade' [7] and UN/ECE Recommendation N�� 21 'Codes for Passengers, Types of Cargo, Packages and Packaging Materials (with Complementary Codes for Package Names)' [19] applying the method described in UN/ECE Rec N�� 20 Intro 2.a). Note that in most cases it is not needed for Buyers and Sellers to implement these lists fully in their software. Sellers need only to support the units needed for their goods and services; Buyers only need to verify that the units used in the Invoice are equal to the units used in other documents (such as Contract, Catalogue, Order and Despatch advice).	R14,R39	Code
BT-131	++	1..1	Invoice line net amount	The total amount of the Invoice line.	The amount is 'net' without VAT, i.e. inclusive of line level allowances and charges as well as other relevant taxes.	R39,R40,R56	Amount
BT-132	++	0..1	Referenced purchase order line reference	An identifier for a referenced line within a purchase order, issued by the Buyer.	The purchase order identifier is referenced on document level.	R6	Document reference
BT-133	++	0..1	Invoice line Buyer accounting reference	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.	If required, this reference shall be provided by the Buyer to the Seller prior to the issuing of the Invoice.	R3	Text
BG-26	++	0..1	INVOICE LINE PERIOD	A group of business terms providing information about the period relevant for the Invoice line.	Is also called Invoice line delivery period.	R30	
BT-134	+++	0..1	Invoice line period start date	The date when the Invoice period for this Invoice line starts.	The date is the first day of the period.	R30	Date
BT-135	+++	0..1	Invoice line period end date	The date when the Invoice period for this Invoice line ends.	The date is the last day of the period.	R30	Date
BG-27	++	0..n	INVOICE LINE ALLOWANCES	A group of business terms providing information about allowances applicable to the individual Invoice line.		R15	
BT-136	+++	1..1	Invoice line allowance amount	The amount of an allowance, without VAT.		R15,R19	Amount
BT-137	+++	0..1	Invoice line allowance base amount	The base amount that may be used, in conjunction with the Invoice line allowance percentage, to calculate the Invoice line allowance amount.		R15,R42	Amount
BT-138	+++	0..1	Invoice line allowance percentage	The percentage that may be used, in conjunction with the Invoice line allowance base amount, to calculate the Invoice line allowance amount		R15,R42	Percentage
BT-139	+++	0..1	Invoice line allowance reason	The reason for the Invoice line allowance, expressed as text.		R15	Text
BT-140	+++	0..1	Invoice line allowance reason code	The reason for the Invoice line allowance, expressed as a code.	Use entries of the UNTDID 5189 code list [6]. The Invoice line level allowance reason code and the Invoice line level allowance reason shall indicate the same allowance reason.	R15	Code
BG-28	++	0..n	INVOICE LINE CHARGES	A group of business terms providing information about charges and taxes other than VAT applicable to the individual Invoice line.	All charges and taxes are assumed to be liable to the same VAT rate as the Invoice line.	R18	
BT-141	+++	1..1	Invoice line charge amount	The amount of a charge, without VAT.		R19	Amount
BT-142	+++	0..1	Invoice line charge base amount	The base amount that may be used, in conjunction with the Invoice line charge percentage, to calculate the Invoice line charge amount.		R42	Amount
BT-143	+++	0..1	Invoice line charge percentage	The percentage that may be used, in conjunction with the Invoice line charge base amount, to calculate the Invoice line charge amount.		R42	Percentage
BT-144	+++	0..1	Invoice line charge reason	The reason for the Invoice line charge, expressed as text.		R18	Text
BT-145	+++	0..1	Invoice line charge reason code	The reason for the Invoice line charge, expressed as a code.	Use entries of the UNTDID 7161 code list [6]. The Invoice line charge reason code and the Invoice line charge reason shall indicate the same charge reason.	R18	Code
BG-29	++	1..1	PRICE DETAILS	A group of business terms providing information about the price applied for the goods and services invoiced on the Invoice line.		R14	
BT-146	+++	1..1	Item net price	The price of an item, exclusive of VAT, after subtracting item price discount.	The Item net price has to be equal with the Item gross price less the Item price discount.	R14	Unit price amount
BT-147	+++	0..1	Item price discount	The total discount subtracted from the Item gross price to calculate the Item net price.	Only applies if the discount is provided per unit and if it is not included in the Item gross price.	R14	Unit price amount
BT-148	+++	0..1	Item gross price	The unit price, exclusive of VAT, before subtracting Item price discount.		R14	Unit price amount
BT-149	+++	0..1	Item price base quantity	The number of item units to which the price applies.		R14	Quantity
BT-150	+++	0..1	Item price base quantity unit of measure code	 The unit of measure that applies to the Item price base quantity.	The Item price base quantity unit of measure shall be the same as the Invoiced quantity unit of measure (BT-130).	R14	Code
BG-30	++	1..1	LINE VAT INFORMATION	A group of business terms providing information about the VAT applicable for the goods and services invoiced on the Invoice line.		R45,R48	
BT-151	+++	1..1	Invoiced item VAT category code	The VAT category code for the invoiced item.	The following entries of UNTDID 5305 [6] are used (further clarification between brackets): - Standard rate (Liable for VAT in a standard way) - Zero rated goods (Liable for VAT with a percentage rate of zero) - Exempt from tax (VAT/IGIC/IPSI) - VAT Reverse Charge (Reverse charge VAT/IGIC/IPSI rules apply) - VAT exempt for intra community supply of goods (VAT/IGIC/IPSI not levied due to Intra-community supply rules) - Free export item, tax not charged (VAT/IGIC/IPSI not levied due to export outside of the EU) - Services outside scope of tax (Sale is not subject to VAT/IGIC/IPSI) - Canary Islands General Indirect Tax (Liable for IGIC tax) - Liable for IPSI (Ceuta/Melilla tax)	R37,R45,R48,R55	Code
BT-152	+++	0..1	Invoiced item VAT rate	The VAT rate, represented as percentage that applies to the invoiced item.		R37,R45,R48	Percent
BG-31	++	1..1	ITEM INFORMATION	A group of business terms providing information about the goods and services invoiced.		R20,R56,R25,R26	
BT-153	+++	1..1	Item name	A name for an item.		R20,R56	Text
BT-154	+++	0..1	Item description	A description for an item.	The Item description allows for describing the item and its features in more detail than the Item name.	R20,R56	Text
BT-155	+++	0..1	Item Seller's identifier	An identifier, assigned by the Seller, for the item.		R21,R56	Identifier
BT-156	+++	0..1	Item Buyer's identifier	An identifier, assigned by the Buyer, for the item.		R21,R56,R22	Identifier
BT-157	+++	0..1	Item standard identifier	An item identifier based on a registered scheme.		R23,R56	Identifier
BT-157		1..1	Scheme identifier	The identification scheme identifier of the Item standard identifier	The identification scheme shall be identified from the entries of the list published by the ISO/IEC 6523 maintenance agency. 		
BT-158	+++	0..n	Item classification identifier	A code for classifying the item by its type or nature.	Classification codes are used to allow grouping of similar items for a various purposes e.g. public procurement (CPV), eCommerce (UNSPSC] etc.	R24	Identifier
BT-158		1..1	Scheme identifier	The identification scheme identifier of the Item classification identifier	The identification scheme shall be chosen from the entries in UNTDID 7143 [6].		
BT-158		0..1	Scheme version identifier	The version of the identification scheme.			
BT-159	+++	0..1	Item country of origin	The code identifying the country from which the item originates.	The lists of valid countries are registered with the EN ISO 3166-1 Maintenance agency, 'Codes for the representation of names of countries and their subdivisions'.	R29	Code
BG-32	+++	0..n	ITEM ATTRIBUTES	A group of business terms providing information about properties of the goods and services invoiced.		R28	
BT-160	++++	1..1	Item attribute name	The name of the attribute or property of the item.	Such as 'Colour'.	R28	Text
BT-161	++++	1..1	Item attribute value	The value of the attribute or property of the item.	Such as 'Red'.	R28	Text
