level	ref	datatype	occurrence	XPath
38330	5	cbc:CurrencyCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:FinancialAccount/cbc:CurrencyCode
38340	5	cbc:PaymentNote	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:FinancialAccount/cbc:PaymentNote
38350	5	cac:FinancialInstitutionBranch	BranchType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:FinancialAccount/cac:FinancialInstitutionBranch
38360	5	cac:Country	CountryType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:FinancialAccount/cac:Country
38370	4	cac:ResidenceAddress	AddressType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress
38380	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:ID
38390	5	cbc:AddressTypeCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:AddressTypeCode
38400	5	cbc:AddressFormatCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:AddressFormatCode
38410	5	cbc:Postbox	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:Postbox
38420	5	cbc:Floor	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:Floor
38430	5	cbc:Room	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:Room
38440	5	cbc:StreetName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:StreetName
38450	5	cbc:AdditionalStreetName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:AdditionalStreetName
38460	5	cbc:BlockName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:BlockName
38470	5	cbc:BuildingName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:BuildingName
38480	5	cbc:BuildingNumber	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:BuildingNumber
38490	5	cbc:InhouseMail	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:InhouseMail
38500	5	cbc:Department	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:Department
38510	5	cbc:MarkAttention	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:MarkAttention
38520	5	cbc:MarkCare	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:MarkCare
38530	5	cbc:PlotIdentification	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:PlotIdentification
38540	5	cbc:CitySubdivisionName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:CitySubdivisionName
38550	5	cbc:CityName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:CityName
38560	5	cbc:PostalZone	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:PostalZone
38570	5	cbc:CountrySubentity	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:CountrySubentity
38580	5	cbc:CountrySubentityCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:CountrySubentityCode
38590	5	cbc:Region	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:Region
38600	5	cbc:District	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:District
38610	5	cbc:TimezoneOffset	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cbc:TimezoneOffset
38620	5	cac:AddressLine	AddressLineType	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cac:AddressLine
38630	5	cac:Country	CountryType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cac:Country
38640	5	cac:LocationCoordinate	LocationCoordinateType	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress/cac:LocationCoordinate
38650	3	cac:AgentParty	PartyType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:AgentParty
38660	3	cac:ServiceProviderParty	ServiceProviderPartyType	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty
38670	4	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cbc:ID
38680	4	cbc:ServiceTypeCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cbc:ServiceTypeCode
38690	4	cbc:ServiceType	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cbc:ServiceType
38700	4	cac:SellerContact	ContactType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact
38710	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cbc:ID
38720	5	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cbc:Name
38730	5	cbc:Telephone	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cbc:Telephone
38740	5	cbc:Telefax	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cbc:Telefax
38750	5	cbc:ElectronicMail	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cbc:ElectronicMail
38760	5	cbc:Note	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cbc:Note
38770	5	cac:OtherCommunication	CommunicationType	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact/cac:OtherCommunication
38780	3	cac:PowerOfAttorney	PowerOfAttorneyType	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:PowerOfAttorney
38790	4	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:ID
38800	4	cbc:IssueDate	Date	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:IssueDate
38810	4	cbc:IssueTime	Time	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:IssueTime
38820	4	cbc:Description	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:Description
38830	3	cac:FinancialAccount	FinancialAccountType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount
38840	4	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:ID
38850	4	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:Name
38860	4	cbc:AliasName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:AliasName
38870	4	cbc:AccountTypeCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:AccountTypeCode
38880	4	cbc:AccountFormatCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:AccountFormatCode
38890	4	cbc:CurrencyCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:CurrencyCode
38900	4	cbc:PaymentNote	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:PaymentNote
38910	4	cac:FinancialInstitutionBranch	BranchType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:FinancialInstitutionBranch
38920	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:FinancialInstitutionBranch/cbc:ID
38930	5	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:FinancialInstitutionBranch/cbc:Name
38940	5	cac:FinancialInstitution	FinancialInstitutionType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:FinancialInstitutionBranch/cac:FinancialInstitution
38950	5	cac:Address	AddressType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:FinancialInstitutionBranch/cac:Address
38960	4	cac:Country	CountryType	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:Country
38970	5	cbc:IdentificationCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:Country/cbc:IdentificationCode
38980	5	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:Country/cbc:Name
38990	2	cac:ResultOfVerification	ResultOfVerificationType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification
39000	3	cbc:ValidatorID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidatorID
39010	3	cbc:ValidationResultCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidationResultCode
39020	3	cbc:ValidationDate	Date	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidationDate
39030	3	cbc:ValidationTime	Time	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidationTime
39040	3	cbc:ValidateProcess	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidateProcess
39050	3	cbc:ValidateTool	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidateTool
39060	3	cbc:ValidateToolVersion	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cbc:ValidateToolVersion
39070	3	cac:SignatoryParty	PartyType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty
39080	4	cbc:MarkCareIndicator	Indicator	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cbc:MarkCareIndicator
39090	4	cbc:MarkAttentionIndicator	Indicator	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cbc:MarkAttentionIndicator
39100	4	cbc:WebsiteURI	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cbc:WebsiteURI
39110	4	cbc:LogoReferenceID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cbc:LogoReferenceID
39120	4	cbc:EndpointID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cbc:EndpointID
39130	4	cbc:IndustryClassificationCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cbc:IndustryClassificationCode
39140	4	cac:PartyIdentification	PartyIdentificationType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyIdentification
39150	5	cbc:ID	Identifier	1..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyIdentification/cbc:ID
39160	4	cac:PartyName	PartyNameType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyName
39170	5	cbc:Name	Name	1..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyName/cbc:Name
39180	4	cac:Language	LanguageType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Language
39190	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Language/cbc:ID
39200	5	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Language/cbc:Name
39210	5	cbc:LocaleCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Language/cbc:LocaleCode
39220	4	cac:PostalAddress	AddressType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress
39230	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:ID
39240	5	cbc:AddressTypeCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:AddressTypeCode
39250	5	cbc:AddressFormatCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:AddressFormatCode
39260	5	cbc:Postbox	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:Postbox
39270	5	cbc:Floor	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:Floor
39280	5	cbc:Room	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:Room
39290	5	cbc:StreetName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:StreetName
39300	5	cbc:AdditionalStreetName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:AdditionalStreetName
39310	5	cbc:BlockName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:BlockName
39320	5	cbc:BuildingName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:BuildingName
39330	5	cbc:BuildingNumber	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:BuildingNumber
39340	5	cbc:InhouseMail	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:InhouseMail
39350	5	cbc:Department	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:Department
39360	5	cbc:MarkAttention	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:MarkAttention
39370	5	cbc:MarkCare	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:MarkCare
39380	5	cbc:PlotIdentification	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:PlotIdentification
39390	5	cbc:CitySubdivisionName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:CitySubdivisionName
39400	5	cbc:CityName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:CityName
39410	5	cbc:PostalZone	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:PostalZone
39420	5	cbc:CountrySubentity	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:CountrySubentity
39430	5	cbc:CountrySubentityCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:CountrySubentityCode
39440	5	cbc:Region	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:Region
39450	5	cbc:District	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:District
39460	5	cbc:TimezoneOffset	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cbc:TimezoneOffset
39470	5	cac:AddressLine	AddressLineType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cac:AddressLine
39480	5	cac:Country	CountryType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cac:Country
39490	5	cac:LocationCoordinate	LocationCoordinateType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PostalAddress/cac:LocationCoordinate
39500	4	cac:PhysicalLocation	LocationType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation
39510	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:ID
39520	5	cbc:Description	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:Description
39530	5	cbc:Conditions	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:Conditions
39540	5	cbc:CountrySubentity	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:CountrySubentity
39550	5	cbc:CountrySubentityCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:CountrySubentityCode
39560	5	cbc:LocationTypeCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:LocationTypeCode
39570	5	cbc:InformationURI	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:InformationURI
39580	5	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cbc:Name
39590	5	cac:ValidityPeriod	PeriodType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cac:ValidityPeriod
39600	5	cac:Address	AddressType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cac:Address
39610	5	cac:SubsidiaryLocation	LocationType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cac:SubsidiaryLocation
39620	5	cac:LocationCoordinate	LocationCoordinateType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PhysicalLocation/cac:LocationCoordinate
39630	4	cac:PartyTaxScheme	PartyTaxSchemeType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme
39640	5	cbc:RegistrationName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cbc:RegistrationName
39650	5	cbc:CompanyID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cbc:CompanyID
39660	5	cbc:TaxLevelCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cbc:TaxLevelCode
39670	5	cbc:ExemptionReasonCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cbc:ExemptionReasonCode
39680	5	cbc:ExemptionReason	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cbc:ExemptionReason
39690	5	cac:RegistrationAddress	AddressType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cac:RegistrationAddress
39700	5	cac:TaxScheme	TaxSchemeType	1..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyTaxScheme/cac:TaxScheme
39710	4	cac:PartyLegalEntity	PartyLegalEntityType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity
39720	5	cbc:RegistrationName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:RegistrationName
39730	5	cbc:CompanyID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CompanyID
39740	5	cbc:RegistrationDate	Date	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:RegistrationDate
39750	5	cbc:RegistrationExpirationDate	Date	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:RegistrationExpirationDate
39760	5	cbc:CompanyLegalFormCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CompanyLegalFormCode
39770	5	cbc:CompanyLegalForm	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CompanyLegalForm
39780	5	cbc:SoleProprietorshipIndicator	Indicator	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:SoleProprietorshipIndicator
39790	5	cbc:CompanyLiquidationStatusCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CompanyLiquidationStatusCode
39800	5	cbc:CorporateStockAmount	Amount	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CorporateStockAmount
39810	5	cbc:FullyPaidSharesIndicator	Indicator	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:FullyPaidSharesIndicator
39820	5	cac:RegistrationAddress	AddressType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cac:RegistrationAddress
39830	5	cac:CorporateRegistrationScheme	CorporateRegistrationSchemeType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cac:CorporateRegistrationScheme
39840	5	cac:ShareholderParty	ShareholderPartyType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:PartyLegalEntity/cac:ShareholderParty
39850	4	cac:Contact	ContactType	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact
39860	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cbc:ID
39870	5	cbc:Name	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cbc:Name
39880	5	cbc:Telephone	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cbc:Telephone
39890	5	cbc:Telefax	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cbc:Telefax
39900	5	cbc:ElectronicMail	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cbc:ElectronicMail
39910	5	cbc:Note	Text	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cbc:Note
39920	5	cac:OtherCommunication	CommunicationType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Contact/cac:OtherCommunication
39930	4	cac:Person	PersonType	0..n	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person
39940	5	cbc:ID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:ID
39950	5	cbc:FirstName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:FirstName
39960	5	cbc:FamilyName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:FamilyName
39970	5	cbc:Title	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:Title
39980	5	cbc:MiddleName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:MiddleName
39990	5	cbc:OtherName	Name	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:OtherName
40000	5	cbc:NameSuffix	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:NameSuffix
40010	5	cbc:JobTitle	Text	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:JobTitle
40020	5	cbc:NationalityID	Identifier	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:NationalityID
40030	5	cbc:GenderCode	Code	0..1	/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification/cac:SignatoryParty/cac:Person/cbc:GenderCode
