SemanticSort	ID	BusinessTerm	Level	BusinessTermJP	Card.	Data Type	SyntaxSort	xPath
2365	ibt-103-1	Tax Scheme	2	税スキーマ	0..1	Code	2810	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:TaxScheme/cbc:ID
2320	ibt-099	Document level charge amount	2	ドキュメントレベルの追加請求金額	1..1	Amount	2820	/Invoice/cac:AllowanceCharge/cbc:Amount
2325	ibt-099-1	Currency code	3	通貨コード	1..1	Code	2830	/Invoice/cac:AllowanceCharge/cbc:Amount/@currencyID
2330	ibt-100	Document level charge base amount	2	ドキュメントレベルの追加請求金額の基準となる金額	0..1	Amount	2840	/Invoice/cac:AllowanceCharge/cbc:BaseAmount
2335	ibt-100-1	Currency code	3	通貨コード	1..1	Code	2850	/Invoice/cac:AllowanceCharge/cbc:BaseAmount/@currencyID
2350	ibt-102	Document level charge TAX category code	2	ドキュメントレベルの追加請求の課税分類コード	1..1	Code	2860	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID
2360	ibt-103	Document level charge TAX rate	2	ドキュメントレベルの追加請求の税率	0..1	Percent	2870	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent
2440	ibg-39	INVOICE TOTAL TAX	1	消費税合計金額	0..1	Group	2880	/Invoice/cac:TaxTotal
2440	ibt-110	Invoice total TAX amount	2	消費税合計金額	1..1	Amount	2890	/Invoice/cac:TaxTotal/cbc:TaxAmount
2445	ibt-110-1	Currency code	3	通貨コード	1..1	Code	2900	/Invoice/cac:TaxTotal/cbc:TaxAmount/@currencyID
2450	ibt-111	Invoice total TAX amount in accounting currency	2	会計通貨での消費税合計金額	0..1	Amount	2910	/Invoice/cac:TaxTotal/cbc:TaxAmount
2455	ibt-111-1	Currency code	3	通貨コード	1..1	Code	2920	/Invoice/cac:TaxTotal/cbc:TaxAmount/@currencyID
2500	ibg-23	TAX BREAKDOWN	1	消費税内訳情報	1..n	Group	2930	/Invoice/cac:TaxTotal/cac:TaxSubtotal
2510	ibt-116	TAX category taxable amount	2	課税分類毎の課税基準額	1..1	Amount	2940	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount
2515	ibt-116-1	Currency code	3	通貨コード	1..1	Code	2950	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount/@currencyID
2520	ibt-117	TAX category tax amount	2	課税分類毎の消費税額	1..1	Amount	2960	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount
2525	ibt-117-1	Currency code	3	通貨コード	1..1	Code	2970	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount/@currencyID
2530	ibt-118	TAX category code 	2	課税分類コード	1..1	Code	2980	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID
2535	ibt-118-1	Tax Scheme	2	税スキーマ	0..1	Code	2990	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID
2540	ibt-119	TAX category rate	2	課税分類毎の税率	0..1	Percent	3000	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
2560	ibt-121	TAX exemption reason code	2	非課税/不課税理由コード	0..1	Code	3010	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode
2550	ibt-120	TAX exemption reason text	2	非課税/不課税理由	0..1	Text	3020	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason
2390	ibg-22	DOCUMENT TOTALS	1	請求書総合計金額	1..1	Group	3030	/Invoice/cac:LegalMonetaryTotal
2400	ibt-106	Sum of Invoice line net amount	2	明細行金額(税抜)の合計	1..1	Amount	3040	/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount
2405	ibt-106-1	Currency code	3	通貨コード	1..1	Code	3050	/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount/@currencyID
2430	ibt-109	Invoice total amount without TAX	2	請求書合計金額(税抜)	1..1	Amount	3060	/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount
2435	ibt-109-1	Currency code	3	通貨コード	1..1	Code	3070	/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount/@currencyID
2460	ibt-112	Invoice total amount with TAX	2	請求書合計金額(税込)	1..1	Amount	3080	/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount
2465	ibt-112-1	Currency code	3	通貨コード	1..1	Code	3090	/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount/@currencyID
2410	ibt-107	Sum of allowances on document level	2	ドキュメントレベルの返還請求の合計	0..1	Amount	3100	/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount
2415	ibt-107-1	Currency code	3	通貨コード	1..1	Code	3110	/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount/@currencyID
2420	ibt-108	Sum of charges on document level	2	ドキュメントレベルの追加請求の合計	0..1	Amount	3120	/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount
2425	ibt-108-1	Currency code	3	通貨コード	1..1	Code	3130	/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount/@currencyID
2470	ibt-113	Paid amount 	2	支払済金額	0..1	Amount	3140	/Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount
2475	ibt-113-1	Currency code	3	通貨コード	1..1	Code	3150	/Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount/@currencyID
2480	ibt-114	Rounding amount	2	端数処理金額	0..1	Amount	3160	/Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount
2485	ibt-114-1	Currency code	3	通貨コード	1..1	Code	3170	/Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount/@currencyID
2490	ibt-115	Amount due for payment	2	未払金額	1..1	Amount	3180	/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount
2495	ibt-115-1	Currency code	3	通貨コード	1..1	Code	3190	/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount/@currencyID
2640	ibg-25	INVOICE LINE	1	明細行	1..n	Group	3200	/Invoice/cac:InvoiceLine
2650	ibt-126	Invoice line identifier	2	明細行番号	1..1	ID	3210	/Invoice/cac:InvoiceLine/cbc:ID
2660	ibt-127	Invoice line note	2	明細行注釈	0..1	Text	3220	/Invoice/cac:InvoiceLine/cbc:Note
2690	ibt-129	Invoiced quantity	2	請求済数量	1..1	Quantity	3230	/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity
2700	ibt-130	Invoiced quantity unit of measure code	2	請求済数量の数量単位コード	1..1	Code	3240	/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode
2710	ibt-131	Invoice line net amount 	2	明細行金額(税抜)	1..1	Amount	3250	/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount
2715	ibt-131-1	Currency code	3	通貨コード	1..1	Code	3260	/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount/@currencyID
2730	ibt-133	Invoice line Buyer accounting reference	2	明細行バイヤー会計参照	0..1	Text	3270	/Invoice/cac:InvoiceLine/cbc:AccountingCost
2740	ibg-26	INVOICE LINE PERIOD	2	明細行の期間	0..1	Group	3280	/Invoice/cac:InvoiceLine/cac:InvoicePeriod
2750	ibt-134	Invoice line period start date	3	明細行の期間開始日	0..1	Date	3290	/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate
2760	ibt-135	Invoice line period end date	3	明細行の期間終了日	0..1	Date	3300	/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate
2719	ibg-36	Referenced purchase order line reference	2	発注明細行参照	0..1	Group	3310	/Invoice/cac:InvoiceLine/cac:OrderLineReference
2720	ibt-132	Referenced purchase order line identifier	3	発注明細行番号	1..1	REF	3320	/Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID
2721	ibt-183	Referenced purchase order identifier	3	発注書番号	0..1	REF	3330	/Invoice/cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID
2722	ibt-184	Despatch advice reference	2	出荷案内書(納品書)参照	0..1	REF	3340	/Invoice/cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID
2670	ibt-128	Invoice line object identifier	2	請求書明細オブジェクト識別子	0..1	ID	3350	/Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:ID
2680	ibt-128-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	3360	/Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:ID/@schemeID
2770	ibg-27	INVOICE LINE ALLOWANCES	2	明細行の返還請求	0..n	Group	3370	/Invoice/cac:InvoiceLine/cac:AllowanceCharge
2775	ibt-136a	Charge indicator	3	追加請求フラグ	1..1	Indicator	3380	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:ChargeIndicator
2820	ibt-140	Invoice line allowance reason code	3	明細行の返還請求理由コード	0..1	Code	3390	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode
2810	ibt-139	Invoice line allowance reason	3	明細行の返還請求理由	0..1	Text	3400	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReason
2800	ibt-138	Invoice line allowance percentage	3	明細行の返還請求の率	0..1	Percent	3410	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:MultiplierFactorNumeric
2780	ibt-136	Invoice line allowance amount	3	明細行の返還請求金額(税抜)	1..1	Amount	3420	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount
2785	ibt-136-1	Currency code	4	通貨コード	1..1	Code	3430	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount/@currencyID
2790	ibt-137	Invoice line allowance base amount	3	明細行の返還請求の基準金額	0..1	Amount	3440	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount
2795	ibt-137-1	Currency code	4	通貨コード	1..1	Code	3450	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount/@currencyID
2830	ibg-28	INVOICE LINE CHARGES	2	明細行の追加請求	0..n	Group	3460	/Invoice/cac:InvoiceLine/cac:AllowanceCharge
2835	ibt-141a	Charge indicator	3	追加請求フラグ	1..1	Indicator	3470	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:ChargeIndicator
2880	ibt-145	Invoice line charge reason code	3	明細行の追加請求理由コード	0..1	Code	3480	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode
2870	ibt-144	Invoice line charge reason	3	明細行の追加請求理由	0..1	Text	3490	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReason
2860	ibt-143	Invoice line charge percentage	3	明細行の追加請求の率	0..1	Percent	3500	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:MultiplierFactorNumeric
2840	ibt-141	Invoice line charge amount	3	明細行の追加請求金額(税抜)	1..1	Amount	3510	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount
2845	ibt-141-1	Currency code	4	通貨コード	1..1	Code	3520	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount/@currencyID
2850	ibt-142	Invoice line charge base amount	3	明細行の追加請求の基準金額	0..1	Amount	3530	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount
2855	ibt-142-1	Currency code	4	通貨コード	1..1	Code	3540	/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount/@currencyID
2980	ibg-31	ITEM INFORMATION	2	品目情報	1..1	Group	3550	/Invoice/cac:InvoiceLine/cac:Item
3000	ibt-154	Item description 	3	品目摘要	0..n	Text	3560	/Invoice/cac:InvoiceLine/cac:Item/cbc:Description
2990	ibt-153	Item name 	3	品名	1..1	Text	3570	/Invoice/cac:InvoiceLine/cac:Item/cbc:Name
3020	ibt-156	Item Buyer's identifier	3	発注者による品目識別子	0..1	ID	3580	/Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID
3010	ibt-155	Item Seller's identifier	3	販売者による品目識別子	0..1	ID	3590	/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID
2950	ibg-30	LINE TAX INFORMATION	2	明細行税額情報	1..n	Group	3600	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory
2960	ibt-151	Invoiced item TAX category code	3	請求される品目に対する課税分類コード	1..1	Code	3610	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID
2970	ibt-152	Invoiced item TAX rate	3	請求される品目に対する税率	0..1	Percent	3620	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent
2974	ibt-166	Unit TAX	3	単位税額	0..1	Amount	3630	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:PerUnitAmount
2975	ibt-166-1	Currency code	4	通貨コード	1..1	Code	3640	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:PerUnitAmount/@currencyID
2971	ibt-185	TAX exemption reason text	3	非課税/不課税理由コード	0..1	Code	3650	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode
2972	ibt-186	TAX exemption reason code	3	非課税/不課税理由	0..1	Text	3660	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReason
2976	ibt-167	Tax Scheme	3	税スキーマ	0..1	Code	3670	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID
3030	ibt-157	Item standard identifier	3	品目標準識別子	0..1	ID	3680	/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID
3040	ibt-157-1	Scheme identifier	4	スキーマ識別子	1..1	Scheme	3690	/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID
3080	ibt-159	Item country of origin	3	品目の原産国	0..1	Code	3700	/Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode
3050	ibt-158	Item classification identifier	3	品目分類識別子	0..n	ID	3710	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode
3060	ibt-158-1	Scheme identifier	4	スキーマ識別子	1..1	Scheme	3720	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID
3070	ibt-158-2	Scheme version identifier	4	スキーマのバージョン識別子	1..1	Scheme	3730	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID
3090	ibg-32	ITEM ATTRIBUTES	3	品目属性	0..n	Group	3740	/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty
3100	ibt-160	Item attribute name	4	品目属性名	1..1	Text	3750	/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name
3110	ibt-161	Item attribute value 	4	品目属性値	1..1	Text	3760	/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value
2890	ibg-29	PRICE DETAILS	2	取引価格詳細	1..1	Group	3770	/Invoice/cac:InvoiceLine/cac:Price
2900	ibt-146	Item net price	3	品目単価(割引後)(税抜)	1..1	Unit	3780	/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount
2905	ibt-146-1	Currency code	4	通貨コード	1..1	Code	3790	/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount/@currencyID
2930	ibt-149	Item price base quantity	3	品目単価基準数量	0..1	Quantity	3800	/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity
2940	ibt-150	Item price base quantity unit of measure code	3	品目単価基準数量の数量単位コード	0..1	Code	3810	/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode
2907	ibt-147a	Charge indicator	3	追加請求フラグ	1..1	Indicator	3820	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:ChargeIndicator
2910	ibt-147	Item price discount	3	品目単価割引(税抜)	0..1	Unit	3830	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount
2915	ibt-147-1	Currency code	4	通貨コード	1..1	Code	3840	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount/@currencyID
2920	ibt-148	Item gross price	3	品目単価(割引前)(税抜)	0..1	Unit	3850	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount
2925	ibt-148-1	Currency code	4	通貨コード	1..1	Code	3860	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount/@currencyID
