Path	Card.	ID	Level	Card.	BT	Desc.	DT
/Invoice/cac:AllowanceCharge/cbc:BaseAmount	0..1	BT-93	2 	0..1	Document level allowance base amount	"The base amount that may be used, in conjunction with the document level allowance percentage, to calculate the document level allowance amount."	A
/Invoice/cac:AllowanceCharge/cbc:BaseAmount	0..1	BT-100	2 	0..1	Document level charge base amount	"The base amount that may be used, in conjunction with the document level charge percentage, to calculate the document level charge amount."	A
/Invoice/cac:AllowanceCharge/cbc:BaseAmount/@currencyID	1..1					Mandatory attribute. Use BT-5	
/Invoice/cac:AllowanceCharge/cac:TaxCategory	0..n						
/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID	0..1	BT-95	2 	1..1	Document level allowance VAT category code	A coded identification of what VAT category applies to the document level allowance.	C
/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID	0..1	BT-102	2 	1..1	Document level charge VAT category code	A coded identification of what VAT category applies to the document level charge.	C
/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent	0..1	BT-96	2 	0..1	Document level allowance VAT rate	"The VAT rate, represented as percentage that applies to the document level allowance."	P
/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent	0..1	BT-103	2 	0..1	Document level charge VAT rate	"The VAT rate, represented as percentage that applies to the document level charge."	P
/Invoice/cac:AllowanceCharge/cac:TaxCategory/cac:TaxScheme	1..1						
/Invoice/cac:AllowanceCharge/cac:TaxCategory/cac:TaxScheme/cbc:ID	0..1					Mandatory element. Use 'VAT'	
/Invoice/cac:TaxTotal	0..n						
/Invoice/cac:TaxTotal/cbc:TaxAmount	0..1	BT-110	2 	0..1	Invoice total VAT amount	The total VAT amount for the Invoice.	A
/Invoice/cac:TaxTotal/cbc:TaxAmount	1..1	BT-111	2 	0..1	Invoice total VAT amount in accounting currency	The VAT total amount expressed in the accounting currency accepted or required in the country of the Seller.	A
/Invoice/cac:TaxTotal/cbc:TaxAmount/@currencyID	1..1					Mandatory attribute. Use BT-5 or BT-6.	
/Invoice/cac:TaxTotal/cac:TaxSubtotal	0..n	BG-23	1 	1..n	VAT BREAKDOWN	"A group of business terms providing information about VAT breakdown by different categories, rates and exemption reasons"	
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount	0..1	BT-116	2 	1..1	VAT category taxable amount	Sum of all taxable amounts subject to a specific VAT category code and VAT category rate (if the VAT category rate is applicable).	A
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount/@currencylD	1..1					Mandatory attribute. Use BT-5 or BT-6.	
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount	1..1	BT-117	2 	1..1	VAT category tax amount	The total VAT amount for a given VAT category.	A
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount/@currencylD	1..1					Mandatory attribute. Use BT-5 or BT-6.	
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory	1..1						
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID	0..1	BT-118	2 	1..1	VAT category code	Coded identification of category.	C
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent	0..1	BT-119	2 	0..1	VAT category rate	"The VAT rate, represented as percentage that applies for the relevant VAT category."	P
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode	0..1	BT-121	2 	0..1	VAT exemption reason code	A coded statement of the reason for why the amount is exempted from VAT.	C
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason	0..n	BT-120	2 	0..1	VAT exemption reason text	A textual statement of the reason why the amount is exempted from VAT or why no VAT is being charged   	T
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme	1..1						
/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID	0..1					Mandatory element. Use 'VAT'	
/Invoice/cac:LegalMonetaryTotal	1..1	BG-22	1 	1..1	DOCUMENT TOTALS	A group of business terms providing the monetary totals for the Invoice.	
/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount	0..1	BT-106	2 	1..1	Sum of Invoice line net amount	Sum of all Invoice line net amounts in the Invoice.	A
/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount/@currencyID	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount	0..1	BT-109	2 	1..1	Invoice total amount without VAT	The total amount of the Invoice without VAT.	A
/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount/@currencylD	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount	0..1	BT-112	2 	1..1	Invoice total amount with VAT	The total amount of the Invoice with VAT.	A
/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount/@currencylD	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount	0..1	BT-107	2 	0..1	Sum allowances document level	Sum of all allowances on document level in the Invoice.	A
/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount/@currencyID	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount	0..1	BT-108	2 	0..1	Sum of charges on document level	Sum of all charges on document level in the Invoice.	A
/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount/@currencylD	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount	0..1	BT-113	2 	0..1	Paid amount	The sum of amounts which have been paid in advance.	A
/Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount/@currencylD	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount	0..1	BT-114	2 	0..1	Rounding amount	The amount to be added to the invoice total to round the amount to be paid.	A
/Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount/@currencyID	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount	1..1	BT-115	2 	1..1	Amount due for payment	The outstanding amount that is requested to be paid.	A
/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount/@currencylD	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:InvoiceLine	1..n	BG-25	1 	1..n	INVOICE LINE	A group of business terms providing information on individual Invoice lines.	
/Invoice/cac:InvoiceLine/cbc:ID	1..1	BT-126	2 	1..1	Invoice identifier	A unique identifier for the individual line within the Invoice.	I
/Invoice/cac:InvoiceLine/cbc:Note	0..n	BT-127	2 	0..1	Invoice line note	A textual note that gives unstructured information that is relevant to the Invoice line.	T
/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity	0..1	BT-129	2 	1..1	Invoiced quantity	The quantity of items (goods or services) that is charged in the Invoice line.	Q
/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode	0..1	BT-130	2 	1..1	Invoiced quantity unit of measure	The unit of measure that applies to the invoiced quantity.	C
/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount	1..1	BT-131	2 	1..1	Invoice line net amount	The total amount of the Invoice line.	A
/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount/@currencyID	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:InvoiceLine/cbc:AccountingCost	0..1	BT-133	2 	0..1	Invoice Buyer accounting reference	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.	T
/Invoice/cac:InvoiceLine/cac:InvoicePeriod	0..n	BG-26	2 	0..1	INVOICE LINE PERIOD	A group of business terms providing information about the period relevant for the Invoice line.	
/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate	0..1	BT-134	3 	0..1	Invoice line period start date	The date when the Invoice period for this Invoice line starts.	D
/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate	0..1	BT-135	3 	0..1	Invoice line period end date	The date when the Invoice period for this Invoice line ends.	D
/Invoice/cac:InvoiceLine/cac:OrderLineReference	0..n						
/Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID	1..1	BT-132	2 	0..1	Referenced purchase order reference	"An identifier for a referenced line within a purchase order, issued by the Buyer."	0 
/Invoice/cac:InvoiceLine/cac:DocumentReference	0..n						
/Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:ID	1..1	BT-128	2 	0..1	Invoice object identifier	"An identifier for an object on which the invoice line is based, given by the Seller."	I
/Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:ID/@schemelD	0..1	BT-1281	3 	0..1	Invoice line object identifier identification scheme identifier	The identification scheme identifier of the Invoice line object identifier.	S
/Invoice/cac:InvoiceLine/cac:AllowanceCharge	0..n	BG-27	2 	0..n	INVOICE LINE ALLOWANCES	A group of business terms providing information ; allowances applicable to individual Invoice line.	
/Invoice/cac:InvoiceLine/cac:AllowanceCharge	0..n	BG-28	2 	0..n	INVOICE LINE CHARGES	A group of business terms providing information about charges and taxes other than VAT applicable to the individual Invoice line.	
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:ChargeIndicator	1..1					Mandatory element. Use 'true' when informing about Charges and 'false' when informing about Allowances	
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode	0..1	BT-140	3 	0..1	Invoice line allowance reason code	"The reason for the Invoice line allowance, expressed as a code."	C
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode	0..1	BT-145	3 	0..1	Invoice line charge reason code	"The reason for the Invoice line charge, expressed as a code."	C
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReason	0..n	BT-139	3 	0..1	Invoice allowance reason	"The reason for the Invoice line allowance, expressed as text."	T
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReason	0..n	BT-144	3 	0..1	Invoice line charge reason	"The reason for the Invoice line charge, expressed as text."	T
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	0..1	BT-138	3 	0..1	Invoice allowance percentage	"The percentage that may be used, in conjunction with the Invoice line allowance base amount, to calculate the Invoice line allowance amount."	P
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	0..1	BT-143	3 	0..1	Invoice charge percentage	"The percentage that may be used, in conjunction with the Invoice line charge base amount, to calculate the Invoice line charge amount."	P
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount	1..1	BT-136	3 	1..1	Invoice allowance amount	"The amount of an allowance, without VAT."	A
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount	1..1	BT-141	3 	1..1	Invoice line charge amount	"The amount of a charge, without VAT."	A
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount/@currencylD	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount	0..1	BT-137	3 	0..1	Invoice line allowance base amount	"The base amount that may be used, in conjunction with the Invoice line allowance percentage, to calculate the Invoice line allowance amount."	A
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount	0..1	BT-142	3 	0..1	Invoice charge amount	"The base amount that may be used, in conjunction with the Invoice line charge percentage, to calculate the Invoice line charge amount."	A
/Invoice/cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount/@currencyID	1..1					Mandatory attribute. Use BT-5.	
/Invoice/cac:InvoiceLine/cac:Item	1..1	BG-31	2 	1..1	ITEM INFORMATION	A group of business terms providing information about the goods and services invoiced.	
/Invoice/cac:InvoiceLine/cac:Item/cbc:Description	0..n	BT-154	3 	0..n	Item description	A description for an item.	T
/Invoice/cac:InvoiceLine/cac:Item/cbc:Name	0..1	BT-153	3 	1..1	Item name	A name for an item.	T
/Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification	0..n						
/Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID	1..1	BT-156	3 	0..1	Item Buyer's identifier	"An identifier, assigned by the Buyer, for the item."	I
/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification	0..n						
/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID	1..1	BT-155	3 	0..1	Item Seller's identifier	"An identifier, assigned by the Seller, for the item."	I
/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification	0..n						
/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID	1..1	BT-157	3 	0..1	Item standard identifier	An item identifier based registered scheme.	I
/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID	1..1	BT-1571	4 	1..1	Item standard identifier identification scheme identifier	The identification scheme identifier of the Item standard identifier	S
/Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry	0..1						
/Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode	0..1	BT-159	3 	0..1	Item country of origin	The code identifying the country from which the item originates.	C
/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification	0..n						
/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode	0..1	BT-158	3 	0..n	Item classification identifier	A code for classifying the item by its type or nature.	I
/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID	0..1	BT-1581	4 	0..1	Item classification identifier identification scheme identifier	The identification scheme identifier of the Item classification identifier	S
/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID	0..1	BT-1582	4 	0..1	Item classification identifier version identification scheme identifier	The identification scheme version identifier of the Item classification identifier	S
							
/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory	0..n	BG-30	2 	1..1	LINE VAT INFORMATION	A group of business terms providing information about the VAT applicable for the goods and services invoiced on the Invoice line.	
/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID	0..1	BT-151	3 	1..1	Invoiced item VAT category code	The VAT category code for the invoiced item.	C
/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent	0..1	BT-152	3 	0..1	Invoiced item VAT rate	"The VAT rate, represented as percentage that applies to the invoiced item."	P
/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme	1..1						
/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID	0..1					Mandatory element. Use 'VAT'	
/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty	0..n	BG-32	3 	0..n	ITEM ATTRIBUTES	A group of business terms providing information about properties of the goods and services invoiced.	
/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name	1..1	BT-160	4 	1..1	Item attribute name	The name of the attribute or property of the item.	T
/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value	0..1	BT-161	4 	1..1	Item attribute value	The value of the attribute or property of the item.	T
/Invoice/cac:InvoiceLine/cac:Price	0..1	BG-29	2 	1..1	PRICE DETAILS	A group of business terms providing information about the price applied for the goods and services invoiced on the Invoice line.	
/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount	1..1	BT-146	3 	1..1	Item net price	"The price of an item, exclusive of VAT, after subtracting item price discount."	u
/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount/@currencylD	1..1					Mandatory element. Use BT-5.	
/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity	0..1	BT-149	3 	0..1	Item price base quantity	The number of item units to which the price applies.	Q
/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode	0..1	BT-150	3 	0..1	Item price base quantity unit of measure code	The unit of measure that applies to the Item price base quantity.   	C
/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge	0..n						
/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Chargelndicator	1..1					Mandatory element. Use 'false'	
/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount	1..1	BT-147	3 	0..1	Item price discount	The total discount subtracted from the Item gross price to calculate the Item net price.	u
/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount/@currencyID	1..1					Mandatory element. Use BT-5.	
/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount	0..1	BT-148	3 	0..1	Item gross price	"The unit price, exclusive of VAT, before subtracting Item price discount."	u
/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount/@currencyID	1..1					Mandatory element. Use BT-5.	
