CII_Path,CII_Card,EN_ID,EN_Level,EN_Card,EN_BT,EN_Desc,EN_DT
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineOne,0..1,BT-35,3,0..1,Seller address line 1,The main address line in an address.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineTwo,0..1,BT-36,3,0..1,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineThree,0..1,BT-162,,0..1,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CityName,0..1,BT-37,3,0..1,Seller city,"The common name of the city, town or village, where the Seller address is located.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostaITradeAddress/ram:CountryID,0..1,BT-40,3,1..1,Seller country code,A code that identifies country.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,0..n,BT-39,3,0..1,Seller country subdivisio n,The subdivision of a country.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID,0..1,BT-34,2,0..1,Seller electronic address,Identifies the Seller's electronic address to which a business document may be delivered.,I
/rsm:CrossIndustryJnvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,BT-341,3,1..1,Seller electronic address identificat ion scheme  identifier,The identification scheme identifier of the Seller electronic address,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID,0..1,BT-31,2,0..1,Seller VAT identifier,The Seller's VAT identifier (also known as Seller VAT identification number).,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID,0..1,BT-32,2,0..1,Seller tax registration identifier,The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to  state his registered tax status.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID/@schemeID,,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty,0..1,BG-7,1,1..1,BUYER,A group of business terms providing information about the Buyer.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:ID,0..n,BT-46,2,0..n,Buyer identifier,An identifier of the Buyer.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID,0..n,BT-46,2,0..n,Buyer identifier,An identifier of the Buyer.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID/@schemeID,,BT-461,3,0..1,Buyer identifier identificat ion scheme identifier,The identification scheme identifier of the Buyer identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:Name,0..1,BT-44,2,1..1,Buyer name,The full name the Buyer.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,0..1,BT-47,2,0..1,Buyer legal registration identifier,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,BT-471,3,0..1,Buyer legal registration identifier identificat ion  scheme identifier,The identification scheme identifier of the Buyer legal registration identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,0..1,BT-45,2,0..1,Buyer trading name,"A name by which the Buyer is known, other than Buyer name (also known as Business name).",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefmedTradeContact,0..n,BG-9,2,0..1,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:PersonName,0..1,BT-56,3,0..1,Buyer contact point,A contact point for a legal entity or person.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:DepartmentName,0..1,BT-56,3,0..1,Buyer contact point,A contact point for a legal entity or person.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAsreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,0..1,BT-57,3,0..1,Buyer contact telephone number,A phone number for the contact point.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:EmailURlUniversalCommunication,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefmedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,0..1,BT-58,3,0..1,Buyer contact email address,An e-mail address for the contact point.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress,0..1,BG-8,2,1..1,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,0..1,BT-53,3,0..1,Buyer post code,The identifier for an addressable group of properties according to the relevant postal service.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineOne,0..1,BT-50,3,0..1,Buyer address line 1,The main address line in an address.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineTwo,0..1,BT-51,3,0..1,Buyer address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineThree,0..1,BT-163,,0..1,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CityName,0..1,BT-52,3,0..1,Buyer city,"The common name of the city, town or village, where the Buyer's address is located.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountryID,0..1,BT-55,3,1..1,Buyer country code,A code identifies country.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,0..n,BT-54,3,0..1,Buyer country subdivisio n,The subdivision of a country.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID,0..1,BT-49,2,0..1,Buyer electronic address,Identifies the Buyer's electronic address to which a business document should be delivered.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,BT-491,3,1..1,Buyer electronic address identificat ion scheme  identifier,The identification scheme identifier of the Buyer electronic address.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID,0..1,BT-48,2,0..1,Buyer VAT identifier,The Buyer's VAT identifier [also known as Buyer VAT identification number).,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID/@schemeID,,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty,0..1,BG-11,1,0..1,SELLER TAX REPRESENTATIVE PARTY,A group of business terms providing information about the Seller's tax representative.,
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name,0..1,BT-62,2,1..1,Seller tax represent ative name,The full name the Seller's representative party.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress,0..1,BG-12,2,1..1,SELLER TAX REPRESENTATIVE POSTAL  ADDRESS,A group of business terms providing information about the postal address for the tax representative party.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,0..1,BT-67,3,0..1,Tax represent ative post code,The identifier for an addressable group of properties according to the relevant postal service.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineOne,0..1,BT-64,3,0..1,Tax represent ative address line 1,The main address line in an address.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineTwo,0..1,BT-65,3,0..1,Tax represent ative address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SeIlerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineThree,0..1,BT-164,,0..1,Tax represent ative address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CityName,0..1,BT-66,3,0..1,Tax represent ative city,"The common name of the city, town or village, where the tax representative address is located.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountryID,0..1,BT-69,3,1..1,Tax represent ative country code,A code identifies country.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,0..n,BT-68,3,0..1,Tax represent ative country subdivision,The subdivision of a country.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID,0..1,BT-63,2,1..1,Seller tax represent ative VAT identifier,The VAT identifier of the Seller's tax representative party.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID/@schemeID,,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument,0..1,,,,,,
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,0..1,BT-14,1,0..1,Sales order reference,"An identifier of a referenced sales order, issued by the Seller.   ",0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID,0..1,BT-13,1,0..1,Purchase order reference,"An identifier of a referenced purchase order, issued by the Buyer.",0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID,0..1,BT-12,1,0..1,Contract reference,The identification of a contract.,0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument,0..n,BG-24,1,0..n,ADDITIONAL SUPPORTING DOCUMENTS,A group of business terms providing information about additional supporting documents substantiating the claims made in the  Invoice.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID,0..1,BT-122,2,1..1,Supportin g document reference,An identifier of the supporting document.,0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID,0..1,BT-17,1,0..1,Tender or lot reference,The identification of the call for tender or lot the invoice relates to.,0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID,0..1,BT-18,1,0..1,Invoiced object identifier,The identification of the call for tender or lot the invoice relates to.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:URIID,0..1,BT-124,2,0..1,External document location,The URL (Uniform Resource Locator) that identifies where the external document is located.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:AppIicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode,0..1,BT-122,2,1..1,Supportin g document reference,An identifier of the supporting document.,0
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode,0..1,BT-17,1,0..1,Tender or lot reference,"The identification of the call for tender or lot the invoice relates to. Fixed value ""50""",0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode,0..1,BT-18,1,0..1,Invoiced object identifier,"The identification of the call for tender or lot the invoice relates to. Fixed value ""130""",I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:Name,0..n,BT-123,2,0..1,Supportin g document descriptio n,A description of the supporting document.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:AttachmentBinaryObject,0..n,BT-125,2,0..1,Attached document,An attached document embedded as binary object or sent together with the invoice.,B
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:AttachmentBinaryObject/@mimeCode,,BT-125-1,3,1..1,Attached document Mime code,The mime code of the attached document.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:AttachmentBinaryObject/@filename,,BT-125-2,3,1..1,Attached document Filename,The file name of the attached document,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:ReferenceTypeCode,0..1,BT-181,2,0..1,Scheme identifier,The identification scheme identifier of the Invoiced object identifier.   ,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject/ram:lD,1..1,BT-11,1,0..1,Project reference,The identification of the project the invoice refers to.,0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject/ram:Name,1..1,BT-11,1,0..1,Project reference,"The identification of the project the invoice refers to. Fixes value: ""Project reference""",0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty,0..1,BG-13,1,0..1,DELIVERY INFORMATION,A group of business terms providing information about where and when the goods and services invoiced are delivered.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:ID,0..n,BT-71,2,0..1,Deliver to location identifier,An identifier for the location at which the goods and services are delivered.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID,0..n,BT-71,2,0..1,Deliver to location identifier,An identifier for the location at which the goods and services are delivered.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID/@schemeID,,BT-711,3,0..1,Deliver to location identifier identificat ion  scheme identifier,The identification scheme identifier of the Deliver to location identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:Name,0..1,BT-70,2,0..1,Deliver to party name,The name of the party to which the goods and services are delivered.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress,0..1,BG-15,2,0..1,DELIVER TO ADDRESS,A group of business terms providing information about the address to which goods and services invoiced were or are delivered.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,0..1,BT-78,3,0..1,Deliver to postcode,The identifier for an addressable group of properties according to the relevant postal service.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineOne,0..1,BT-75,3,0..1,Deliver to address line 1,The main address line in an address.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineTwo,0..1,BT-76,3,0..1,Deliver to address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineThree,0..1,BT-165,,0..1,Deliver to address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CityName,0..1,BT-77,3,0..1,Deliver to city,"The common name of the city, town or village, where the deliver to address is located.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountryID,0..1,BT-80,3,1..1,Deliver to country code,A code identifies country.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,0..n,BT-79,3,0..1,Deliver to country subdivisio n,The subdivision of a country.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString,1..1,BT-72,2,0..1,Actual delivery date,The date on which the delivery is made.,D
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString/@format,,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:DespatchAdviceReferencedDocument,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:DespatchAdviceReferencedDocument/ram:IssuerAssignedID,0..1,BT-16,1,0..1,Despatch advice reference,An identifier of a referenced despatch advice.,0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ReceivingAdviceReferencedDocument,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ReceivingAdviceReferencedDocument/ram:IssuerAssignedID,0..1,BT-15,1,0..1,Receiving advice reference,An identifier of a referenced receiving advice.,0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement,1..1,BG-19,2,0..1,DIRECT DEBIT,A group of business terms to specify a direct debit.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:CreditorReferenceID,0..1,BT-90,3,0..1,Bank assigned creditor identifier,Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PaymentReference,0..n,BT-83,2,0..1,Remittance information,"A textual value used to establish a link between the payment and the Invoice, issued by the Seller.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:TaxCurrencyCode,0..1,BT-6,1,0..1,VAT accounting currency code,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceCurrencyCode,0..1,BT-5,1,1..1,Invoice currency code,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty,0..1,BG-10,1,0..1,PAYEE,"A group of business terms providing information about the Payee, i.e. the role that receives the payment.",
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:ID,0..n,BT-60,2,0..1,Payee identifier,An identifier the Payee.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID,0..n,BT-60,2,0..1,Payee identifier,An identifier the Payee.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID/@schemeID,,BT-601,3,0..1,Payee identifier identificat ion scheme identifier,The identification scheme identifier of the Payee identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:Name,0..1,BT-59,2,1..1,Payee name,The name Payee.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization,0..1,,,,,,
