SemSort	BT_ID	PINT_ID	Level	BusinessTerm	ビジネス用語名	Definition	説明	Explanation	追加説明	Example	Card	DataType	Section	Extension	SynSort	XPath	Attributes	Rules	DataType	Cardinality	Alignment
1600	IBT-48	ibt-048	2	Buyer TAX identifier	買い手税ID	The Buyer's TAX identifier (also known as Buyer TAX identification number).	買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。		T+法人番号（国税庁）。	T3210987654321	0..1	Identifier	Aligned		1990	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID			Identifier	0..1	
1606	IBT-48	ibt-048-1	3	Tax Scheme	税スキーマ	A code indicating the type of tax	税の種類を示すコード。	"""VAT"" is used for Japan Consumption Tax."	日本の消費税については、VAT を使用する。	VAT	0..1	Scheme			2010	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			IdentifierType	0..1	
1610	IBT-49	ibt-049	2	Buyer electronic address	買い手電子アドレス	Identifies the Buyer's electronic address to which the invoice is delivered.	請求書の送信先となる買い手の電子アドレスを識別する。			JP3210987654321	0..1	Identifier	Shared		1810	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID		ibr-63	IdentifierType	0..1	
1620	IBT-49	ibt-049-1	3	Scheme identifier	スキーマID	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。	ibr-63 requests just to specify scheme ID. Scheme ID does not have to be listed in Connecting Europe Facility (CEF).	ibr-63は単にスキーマIDを指定することを要求しており、スキーマIDがConnecting Europe Facility (CEF) が管理するリストに登録されている必要はない。	0188	1..1	Scheme	Shared		1820	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID					
1630	IBG-8	ibg-08	2	BUYER POSTAL ADDRESS	買い手住所	A group of business terms providing information about the postal address for the Buyer.	買い手の住所に関する情報。				1..1	Group			1880	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress		"ibr-10	ibr-11"	AddressType	0..1	CAR-2
1640	IBT-50	ibt-050	3	Buyer address line 1 	買い手住所欄1	The main address line in an address. 	買い手の住所欄1。			北区	0..1	Text	Shared		1890	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName			NameType	0..1	
1650	IBT-51	ibt-051	3	Buyer address line 2	買い手住所欄2	An additional address line in an address that can be used to give further details supplementing the main line.	買い手の住所欄2。			北十二条西76-X	0..1	Text	Shared		1900	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			NameType	0..1	
1660	IBT-163	ibt-163	3	Buyer address line 3	買い手住所欄3	An additional address line in an address that can be used to give further details supplementing the main line.	買い手の住所欄3。				0..1	Text	Shared		1950	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			TextType	1..1	CAR-1
1670	IBT-52	ibt-052	3	Buyer city	買い手住所 市区町村	"The common name of the city	 town or village	 where the Buyer's address is located."	買い手住所 市区町村。			札幌市	0..1	Text	Shared		1910	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName			NameType	0..1	
1680	IBT-53	ibt-053	3	Buyer post code	買い手郵便番号	The identifier for an addressable group of properties according to the relevant postal service.	買い手の郵便番号。			001-0012	0..1	Text	Shared		1920	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone			TextType	0..1	
1690	IBT-54	ibt-054	3	Buyer country subdivision 	買い手住所 都道府県	The subdivision of a country. 	買い手住所の地方区分。日本の場合は、都道府県。			北海道	0..1	Text	Shared		1930	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			TextType	0..1	
1700	IBT-55	ibt-055	3	Buyer country code 	買い手国コード	A code that identifies the country.	買い手の国コード。			JP	1..1	Code	Shared		1970	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ibr-11	CodeType	0..1	CAR-2
1710	IBG-9	ibg-09	2	BUYER CONTACT	買い手連絡先	A group of business terms providing contact information relevant for the Buyer.	買い手の連絡先に係る情報。				0..1	Group			2060	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact			ContactType	0..1	
1720	IBT-56	ibt-056	3	Buyer contact point 	買い手連絡先	A contact point for a legal entity or person.	買い手の連絡先。			株式会社 藤山物産 札幌支社	0..1	Text	Shared		2070	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name			NameType	0..1	
1730	IBT-57	ibt-057	3	Buyer contact telephone number	買い手連絡先電話番号	A phone number for the contact point. 	買い手の連絡先電話番号。				0..1	Text	Shared		2080	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone			TextType	0..1	
1740	IBT-58	ibt-058	3	Buyer contact email address	買い手連絡先電子メールアドレス	An e-mail address for the contact point. 	買い手の連絡先電子メールアドレス。			purchaser@fujiyamabussan.co.jp	0..1	Text	Shared		2090	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail			TextType	0..1	
1750	IBG-10	ibg-10	1	PAYEE	支払先	"A group of business terms providing information about the Payee	 i.e. the role that receives the payment."	支払先に係る情報。				0..1	Group			2100	/Invoice/cac:PayeeParty		ibr-17	PartyType	0..1	
1760	IBT-59	ibt-059	2	Payee name 	支払先名称	The name of the Payee.	支払先の名称。				1..1	Text	Shared		2140	/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name		ibr-17	NameType	1..1	
1770	IBT-60	ibt-060	2	Payee identifier 	支払先ID	An identifier for the Payee.	支払先のID。				0..1	Identifier	Shared		2120	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID			IdentifierType	1..1	CAR-1
1780	IBT-60	ibt-060-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。				0..1	Scheme	Shared		2125	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID					
1790	IBT-61	ibt-061	2	Payee legal registration identifier	支払先登録企業ID	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.	支払先の国際企業ID。				0..1	Identifier	Shared		2170	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID			IdentifierType	0..1	
1800	IBT-61	ibt-061-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。				0..1	Scheme	Shared		2180	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID					
1810	IBG-11	ibg-11	1	SELLER TAX REPRESENTATIVE PARTY	売り手納税管理人	A group of business terms providing information about the Seller's tax representative.	売り手の納税管理人に係る情報。				0..1	Group			2190	/Invoice/cac:TaxRepresentativeParty		"ibr-18	ibr-19	ibr-20	ibr-56"	PartyType	0..1	
1820	IBT-62	ibt-062	2	Seller tax representative name	売り手納税管理人名称	The full name of the Seller's tax representative party. 	売り手の納税管理人名称。				1..1	Text	Aligned		2210	/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name		ibr-18	NameType	1..1	
1830	IBT-63	ibt-063	2	Seller tax representative TAX identifier	売り手納税管理人税ID	The TAX identifier of the Seller's tax representative party.	売り手の納税管理人の税ID。日本の場合は、納税管理人の適格請求書発行事業者登録番号(T+法人番号(国税庁))。				1..1	Identifier	Aligned		2354	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID		"ibr-56	jp-s-02	jp-s-03	jp-s-04"	IdentifierType	0..1	CAR-2
1836	IBT-63	ibt-063-1	2	Tax Scheme	税スキーマ	A code indicating the type of tax	税の種類を示すコード。	"""VAT"" is used for Japan Consumption Tax."	日本の消費税については、VAT を使用する。		0..1	Scheme			2358	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			IdentifierType	0..1	
1840	IBG-12	ibg-12	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	売り手納税管理人住所	A group of business terms providing information about the postal address for the tax representative party.	納税管理人の住所に関する情報。				1..1	Group			2260	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress		"ibr-19	ibr-20"	AddressType	0..1	CAR-2
1850	IBT-64	ibt-064	3	Tax representative address line 1 	納税管理人住所欄1	The main address line in an address. 	納税管理人住所欄1。				0..1	Text	Shared		2270	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName			NameType	0..1	
1860	IBT-65	ibt-065	3	Tax representative address line 2	納税管理人住所欄2	An additional address line in an address that can be used to give further details supplementing the main line.	納税管理人住所欄2。				0..1	Text	Shared		2280	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName			NameType	0..1	
1870	IBT-164	ibt-164	3	Tax representative address line 3	納税管理人住所欄3	An additional address line in an address that can be used to give further details supplementing the main line.	納税管理人住所欄3。				0..1	Text	Shared		2330	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line			TextType	1..1	CAR-1
1880	IBT-66	ibt-066	3	Tax representative city	納税管理人住所 市区町村	"The common name of the city	 town or village	 where the tax representative address is located."	納税管理人住所 市区町村。				0..1	Text	Shared		2290	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName			NameType	0..1	
1890	IBT-67	ibt-067	3	Tax representative post code	納税管理人郵便番号	The identifier for an addressable group of properties according to the relevant postal service.	納税管理人郵便番号。				0..1	Text	Shared		2300	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone			TextType	0..1	
1900	IBT-68	ibt-068	3	Tax representative country subdivision 	納税管理人住所 都道府県	The subdivision of a country. 	納税管理人住所の地方区分。日本の場合は、都道府県。				0..1	Text	Shared		2310	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity			TextType	0..1	
1910	IBT-69	ibt-069	3	Tax representative country code 	納税管理人国コード	A code that identifies the country.	納税管理人国コード。				1..1	Code	Shared		2350	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode		ibr-20	CodeType	0..1	CAR-2
1920	IBG-13	ibg-13	1	DELIVERY INFORMATION	納入先	A group of business terms providing information about where and when the goods and services invoiced are delivered.	納入先に係る情報。		合算請求書には複数の納入先が含まれることがあるので明細行レベルで 0..n		0..1	Group			2360	/Invoice/cac:Delivery			DeliveryType	0..n	CAR-3
1930	IBT-70	ibt-070	2	Deliver to party name	納入先名称	The name of the party to which the goods and services are delivered.	納入先の名称。			株式会社 藤山物産 札幌支社	0..1	Text	Shared		2530	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name			NameType	1..1	CAR-1
1940	IBT-71	ibt-071	2	Deliver to location identifier	納入先ID	An identifier for the location at which the goods and services are delivered.	納入先の場所ID。				0..1	Identifier	Shared		2390	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID		ibr-cl-26	IdentifierType	0..1	
1950	IBT-71	ibt-071-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO/IEC 6523 の保守機関によって公開されたリストから選択しなければならない。	"For example	 0147 Standard Company CodePartner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。		0..1	Scheme	Shared		2400	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID					
1960	IBT-72	ibt-072	2	Actual delivery date	実際納入日	the date on which the supply of goods or services was made or completed.	実際の納入日。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。	2021-03-04	0..1	Date	Shared		2370	/Invoice/cac:Delivery/cbc:ActualDeliveryDate			PeriodType	0..n	CAR-3
1970	IBG-14	ibg-14	2	INVOICING PERIOD 	請求期間	A group of business terms providing information on the invoice period.	請求期間に関わる情報。				0..1	Group			1130	/Invoice/cac:InvoicePeriod		ibr-co-19	DateType	0..1	
1980	IBT-73	ibt-073	3	Invoicing period start date	請求期間開始日	The date when the Invoice period starts.	請求期間開始日。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。		0..1	Date	Shared		1140	/Invoice/cac:InvoicePeriod/cbc:StartDate		"ibr-29	ibr-co-19"	DateType	0..1	
1990	IBT-74	ibt-074	3	Invoicing period end date	請求期間終了日	The date when the Invoice period ends.	請求期間終了日。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。		0..1	Date	Shared		1150	/Invoice/cac:InvoicePeriod/cbc:EndDate		"ibr-29	ibr-co-19"	DateType	0..1	
2000	IBG-15	ibg-15	2	DELIVER TO ADDRESS	納入先住所	A group of business terms providing information about the address to which goods and services invoiced were or are delivered.	請求される財/サービスの納入先の住所に関する情報				0..1	Group			2410	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address		ibr-57	AddressType	0..1	
2010	IBT-75	ibt-075	3	Deliver to address line 1 	納入先住所欄1	The main address line in an address. 	納入先の住所欄1。			北海道札幌市北区	0..1	Text	Shared		2420	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName			NameType	0..1	
2020	IBT-76	ibt-076	3	Deliver to address line 2	納入先住所欄2	An additional address line in an address that can be used to give further details supplementing the main line.	納入先の住所欄2。			北十二条西76-X	0..1	Text	Shared		2430	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName			NameType	0..1	
2030	IBT-165	ibt-165	3	Deliver to address line 3	納入先住所欄3	An additional address line in an address that can be used to give further details supplementing the main line.	納入先の住所欄3。				0..1	Text	Shared		2480	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line			TextType	1..1	CAR-1
2040	IBT-77	ibt-077	3	Deliver to city	納入先住所 市区町村	"The common name of the city	 town or village	 where the deliver to address is located."	納入先住所 市区町村。			北海道札幌市	0..1	Text	Shared		2440	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName			NameType	0..1	
2050	IBT-78	ibt-078	3	Deliver to post code	納入先郵便番号	The identifier for an addressable group of properties according to the relevant postal service.	納入先の郵便番号。			001-0012	0..1	Text	Shared		2450	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone			TextType	0..1	
2060	IBT-79	ibt-079	3	Deliver to country subdivision 	納入先住所 都道府県	The subdivision of a country. 	納入先住所の地方区分。日本の場合は、都道府県。				0..1	Text	Shared		2460	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity			TextType	0..1	
2070	IBT-80	ibt-080	3	Deliver to country code 	納入先国コード	A code that identifies the country.	納入先の国コード。			JP	1..1	Code	Shared		2500	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode		ibr-57	CodeType	0..1	CAR-2
2080	IBG-16	ibg-16	1	PAYMENT INSTRUCTIONS	支払指示	A group of business terms providing information about the payment. 	取引条件のうち支払に関する情報。	"For further details	 see EIPA_SDC_Payment検討.pptx."	詳細については、EIPA_SDC_Payment検討.pptx を参照。		0..n	Group		Crd from 0..1	2540	/Invoice/cac:PaymentMeans		ibr-49	PaymentMeansType	0..n	
2089	IBT-178	ibt-178	2	Payment Instructions ID	支払指示ID	An identifier for the payment instructions.	各支払指示に対して割り当てられるID。				0..1	Identifier	Aligned	Added	2545	/Invoice/cac:PaymentMeans/cbc:ID			IdentifierType	0..1	
2090	IBT-81	ibt-081	2	Payment means type code	支払手段タイプコード	"The means	 expressed as code	 for how a payment is expected to be or has been settled."	取引決済手段のタイプを識別するコード。			30	1..1	Code	Aligned		2550	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode		"ibr-49	ibr-cl-16	jp-cl-02"	CodeType	1..1	
2100	IBT-82	ibt-082	2	Payment means text	支払手段内容説明	"The means	 expressed as text	 for how a payment is expected to be or has been settled."	取引決済手段を説明するテキスト。			Credit transfer	0..1	Text	Shared		2560	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@Name					
2110	IBT-83	ibt-083	2	Remittance information	送金情報	A textual value used for payment routing or to establish a link between the payment and the Invoice.	支払と請求書とを紐づけるために使用されるテキスト。			Snippet1	0..n	Text	Aligned	Crd from 0..1. Def extended.	2570	/Invoice/cac:PaymentMeans/cbc:PaymentID			IdentifierType	0..n	
2111	IBT-83	ibt-083-1	3	Scheme identifier	スキーマID	The identification of the identification scheme. As example ABA	スキーマID、例えば、ABA。	"The ABA plays a role similar to the BIC code in the United States	 and is a number individually held by a bank in the United States	 consisting of nine consecutive digits. "	ABAは、米国においてBICコードと同じような役割を果たし、米国内の銀行が個別に保有する番号で、連続した9桁の数字からなる。		0..1	Code	Aligned	Added	2571	/Invoice/cac:PaymentMeans/cbc:PaymentID/@SchemeID					
2120	IBG-17	ibg-17	2	CREDIT TRANSFER 	銀行振込	A group of business terms to specify credit transfer payments. 	銀行振込による支払を指定。	"For further details	 see EIPA_SDC_Payment検討.pptx."	詳細については、EIPA_SDC_Payment検討.pptx を参照。		0..n	Group			2580	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount			FinancialAccountType	0..1	CAR-4
2130	IBT-84	ibt-084	3	Payment account identifier	支払先口座ID	"A unique identifier of the financial payment account	 at a payment service provider	 to which payment should be made."	支払先となる、金融機関の口座ID。IBAN(SEPA支払いの場合)など。	"As operation in Japan	 a value is filled in ibt-084 Payment account identifier in the following way.Bank code (4 digit):Bank branch code (3 digit):Bank account number (7 digit):Bank account type (1 digit)If no value is filled in ibt-084-1 and only ibt-084 has the string of ""(4 digit):(3 digit):(7 digit):(1 digit)""	 that string is interpreted as Bank code (4 digit):Bank branch code (3 digit):Bank account number (7 digit):Bank account type (1 digit).If IBAN is filled in ibt-084-1	 the string set in ibt-084 Payment account identifier is interpreted as a code of IBAN. "	"日本における運用としては、支払先口座IDに、以下のように値をセットすることとする。銀行コード(4桁):支店コード(3桁):口座番号(7桁):口座種別(1桁)ibt-084-1に何もセットされておらず、ibt-084 支払先口座ID に ""4桁:3桁:7桁:1桁"" の文字列がセットされているだけの場合は、この文字列は、銀行コード(4桁):支店コード(3桁):口座番号(7桁):口座種別(1桁) と解釈する。ibt-084-1に IBAN とセットされていたら、ibt-084 支払先口座ID にセットされている文字列は、IBAN のコードであると解釈する。"	1234:12:1:123456789	1..1	Identifier	Shared		2590	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID			IdentifierType	0..1	CAR-2
2131	IBT-84	ibt-084-1	3	Scheme identifier	スキーマID	The identification of the identification scheme. As example IBAN	スキーマID、例えば、IBAN。				0..1	Code	Aligned	Added	2591	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID/@SchemeID					
2140	IBT-85	ibt-085	3	Payment account name	支払先口座名義人名	"The name of the payment account	 at a payment service provider	 to which payment should be made."	支払先口座の口座名義人名。			株式会社 ○○商事	0..1	Text	Shared		2600	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name			NameType	0..1	
2149	IBT-86	ibt-086	3	Payment service provider identifier	支払先金融機関ID	An identifier for the payment service provider where a payment account is located.	支払先口座がある金融機関ID。	"For example	 it is expected to set BIC code (SWIFT code)	  however	 Japan utilizes ibt-084 Payment account identifier to specify bank code	 bank branch code	 bank account number	 and bank account type. ibt-086 Payment service provider identifier is not used."	例えば、BICコード(SWIFTコード)をセットすることが想定されているが、日本における運用としては、ibt-084 で支払先口座を指定する運用とするため、この項目は使用しない。		0..1	Identifier	Shared		2619	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID			IdentifierType	0..1	
2150	IBG-34	ibg-34	3	ADDRESS	住所	The address of the financial institution or its branch that holds the payment account.	金融機関やその支店の住所。				0..1	Group		Added	2620	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address			AddressType	0..1	
2151	IBT-169	ibt-169	4	Account address line 1 	支払先口座住所欄1	The main address line in an address. 	住所欄1。				0..1	Text	Aligned	Added	2621	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:StreetName			NameType	0..1	
2152	IBT-170	ibt-170	4	Account address line 2	支払先口座住所欄2	An additional address line in an address that can be used to give further details supplementing the main line.	住所欄2。				0..1	Text	Aligned	Added	2622	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:AdditionalStreetName			NameType	0..1	
2153	IBT-171	ibt-171	4	Account city	支払先口座住所 市区町村	"The common name of the city	 town or village	 where the account address is located."	支払先口座住所 市区町村。				0..1	Text	Aligned	Added	2623	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CityName			NameType	0..1	
2154	IBT-172	ibt-172	4	Account post code	支払先口座郵便番号	The identifier for an addressable group of properties according to the relevant postal service.	支払先口座郵便番号。				0..1	Text	Aligned	Added	2624	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:PostalZone			TextType	0..1	
2155	IBT-173	ibt-173	4	Account country subdivision 	支払先口座住所 都道府県	The subdivision of a country. 	支払先口座住所の地方区分。日本の場合は、都道府県。				0..1	Text	Aligned	Added	2625	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CountrySubentity			TextType	0..1	
2157	IBT-174	ibt-174	4	Account address line 3	支払先口座住所欄3	An additional address line in an address that can be used to give further details supplementing the main line.	住所欄3。				0..1	Text	Aligned	Added	2627	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine/cbc:Line					
2159	IBT-175	ibt-175	4	Account country code 	支払先口座国コード	A code that identifies the country.	支払先口座国コード。				0..1	Code	Aligned	Added	2629	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country/cbc:IdentificationCode					
2160	IBG-18	ibg-18	2	PAYMENT CARD INFORMATION	支払カード情報	A group of business terms providing information about card used for payment contemporaneous with invoice issuance.	請求書発行と同時に支払に使用されるカードに関する情報。買い手がクレジットカードやデビットカードなどの支払いカードを使用することを選択した場合にのみ使用。	"For further details	 see EIPA_SDC_Payment検討.pptx."	詳細については、EIPA_SDC_Payment検討.pptx を参照。		0..1	Group			2630	/Invoice/cac:PaymentMeans/cac:CardAccount			CardAccountType	0..1	
2170	IBT-87	ibt-087	3	Payment card primary account number	支払カード主要口座番号	The Primary Account Number (PAN) of the card used for payment.	支払に使用するカードの主要口座番号。		カード支払セキュリティ基準に従って、請求書にはカードの主要口座番号を完全に含めない。現時点では、PCI Security Standards Council は、最初の6桁と最後の4桁が表示される最大桁数であると定義。		1..1	Text	Shared		2640	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID			IdentifierType	1..1	
2180	IBT-88	ibt-088	3	Payment card holder name	カード名義人氏名	The name of the payment card holder. 	支払カード所有者の氏名。				0..1	Text	Shared		2660	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName			NameType	0..1	
2190	IBG-19	ibg-19	2	DIRECT DEBIT 	自動口座引落	A group of business terms to specify a direct debit.	口座引落しを指定するビジネス条件の情報。	"For further details	 see EIPA_SDC_Payment検討.pptx."	SEPA又は他の口座振替制度の規則に従い、SEPA又は売り手が開始する他の口座振替により支払いが行われる旨を請求書に事前通知するために使用する。詳細については、EIPA_SDC_Payment検討.pptx を参照。		0..1	Group			2670	/Invoice/cac:PaymentMeans/cac:PaymentMandate			PaymentMandateType	0..1	
2200	IBT-89	ibt-089	3	Mandate reference identifier	マンデーション参照ID	Unique identifier assigned by the Payee for referencing the direct debit mandate.	口座振替依頼を参照するために受取人によって割り当てられた固有ID。		買い手に事前通知するために使用する。SEPA口座振替である旨を通知するために受取人(支払先)によって割り当てられた固有ID。		0..1	Identifier	Shared		2680	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID			IdentifierType	0..1	
2210	IBT-90	ibt-090	3	Bank assigned creditor identifier	銀行が割り当てた債権者ID	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	受取人(支払先)または売り手の取引銀行によって割り当てられた受取人(支払先)または売り手の取引銀行参照ID。		SEPA口座振替を買い手に事前に通知するために使用。		0..1	Identifier	Aligned		1520	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID		ibr-cl-10	IdentifierType	1..1	CAR-1
2212	IBT-90	ibt-090-1	4	Scheme identifier	スキーマID	"If used	 the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、スキーマIDは、ISO/IEC 6523 の保守機関によって公開されたリストから選択しなければならない。				0..1	Scheme	Shared		1522	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID					
2220	IBT-91	ibt-091	3	Debited account identifier	自動引落口座ID	The account to be debited by the direct debit. 	自動口座引落によって引き落としがされる銀行口座ID。				0..1	Identifier	Shared		2690	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID			IdentifierType	0..1	
2221	IBG-35	ibg-35	1	Paid amounts	支払済金額			"For further details	 see EIPA_SDC_Payment検討.pptx."	詳細については、EIPA_SDC_Payment検討.pptx を参照。		0..n	Group		Added	2720	/Invoice/cac:PrepaidPayment			PaymentType	0..n	
2222	IBT-179	ibt-179	2	Payment identifier	支払ID	"An identifier that references the payment	 such as bank transfer identifier."	銀行振込のIDなど、支払を参照するID				0..1	Identifier	Aligned	Added	2721	/Invoice/cac:PrepaidPayment/cbc:ID			IdentifierType	0..1	
2223	IBT-180	ibt-180	2	Paid amount	支払済金額	The amount of the payment in the invoice currency.	請求書通貨での支払済金額。	"In the numerical representation	 for data type amount	 only the integer is allowed and the integer part is not separated by 1000 units."	数値表現は、データ型 Amount については、整数、整数部分の1000単位の区切りはなし。		1..1	Amount	Aligned	Added	2722	/Invoice/cac:PrepaidPayment/cbc:PaidAmount			AmountType	0..1	CAR-2
