SemanticSort	prent	ID	Level	BusinessTerm	BusinessTermJP	Card.	Data Type	SyntaxSort	xPath
194	ibg-20	ibt-092	2	Document level allowance amount	ドキュメントレベルの返還請求金額(税抜き)	1..1	Amount	2780	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
195	ibg-20	ibt-093	2	Document level allowance base amount	ドキュメントレベルの返還請求金額の基準となる金額	0..1	Amount	2790	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
196	ibg-20	ibt-094	2	Document level allowance percentage	ドキュメントレベルの返還請求の率	0..1	Percent	2770	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric
								2800	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory
198	ibg-20	ibt-095	2	Document level allowance TAX category code	ドキュメントレベルの返還請求の課税分類コード	1..1	Code	2810	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:ID
199	ibg-20	ibt-096	2	Document level allowance TAX rate	ドキュメントレベルの返還請求の税率	0..1	Percent	2820	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:Percent
								2830	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cac:TaxScheme
201	ibt-096	ibt-096-1	3	Tax Scheme	税スキーマ	0..1	Scheme	2840	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cac:TaxScheme/cbc:ID
202	ibg-20	ibt-097	2	Document level allowance reason	ドキュメントレベルの返還請求の理由	0..1	Text	2760	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason
								2740	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator
204	ibg-20	ibt-098	2	Document level allowance reason code	ドキュメントレベルの返還請求の理由コード	0..1	Code	2750	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode
205	ibg-00	ibg-21	1	DOCUMENT LEVEL CHARGES	ドキュメントレベルの追加請求	0..n	Group	2850	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]
								2860	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:ChargeIndicator
207	ibg-21	ibt-099	2	Document level charge amount	ドキュメントレベルの追加請求金額(税抜き)	1..1	Amount	2890	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount
208	ibg-21	ibt-100	2	Document level charge base amount	ドキュメントレベルの追加請求金額の基準となる金額	0..1	Amount	2900	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount
209	ibg-21	ibt-101	2	Document level charge percentage	ドキュメントレベルの追加請求の率	0..1	Percent	2880	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:MultiplierFactorNumeric
								2910	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory
211	ibg-21	ibt-102	2	Document level charge TAX category code	ドキュメントレベルの追加請求の課税分類コード	1..1	Code	2920	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:ID
212	ibg-21	ibt-103	2	Document level charge TAX rate	ドキュメントレベルの追加請求の税率	0..1	Percent	2930	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:Percent
								2940	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cac:TaxScheme
214	ibt-103	ibt-103-1	3	Tax Scheme	税スキーマ	0..1	Scheme	2960	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cac:TaxScheme/cbc:ID
215	ibg-21	ibt-104	2	Document level charge reason	ドキュメントレベルの追加請求の理由	0..1	Text	2870	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReason
216	ibg-21	ibt-105	2	Document level charge reason code	ドキュメントレベルの追加請求の理由コード	0..1	Code	2865	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReasonCode
217	ibg-00	ibg-22	1	DOCUMENT TOTALS	請求書総合計金額	1..1	Group	3090	/Invoice/cac:LegalMonetaryTotal
218	ibg-22	ibt-106	2	Sum of Invoice line net amount	値引/割引後請求書明細行金額の合計	1..1	Amount	3100	/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount
219	ibg-22	ibt-107	2	Sum of allowances on document level	ドキュメントレベルの返還請求の合計	0..1	Amount	3130	/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount
220	ibg-22	ibt-108	2	Sum of charges on document level	ドキュメントレベルの追加請求の合計	0..1	Amount	3140	/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount
221	ibg-22	ibt-109	2	Invoice total amount without TAX	請求書合計金額(税抜き)	1..1	Amount	3110	/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount
								2980	/Invoice/cac:TaxTotal
223	ibg-22	ibt-110	2	Invoice total TAX amount	請求書消費税合計金額	0..1	Amount	2990	/Invoice/cac:TaxTotal/cbc:TaxAmount[@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]
224	ibg-22	ibt-111	2	Invoice total TAX amount in accounting currency	会計通貨での請求書消費税合計金額	0..1	Amount	3000	/Invoice/cac:TaxTotal/cbc:TaxAmount[@currencyID=/Invoice/cbc:TaxCurrencyCode/text()]
225	ibg-22	ibt-112	2	Invoice total amount with TAX	請求書合計金額(税込み)	1..1	Amount	3120	/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount
226	ibg-22	ibt-113	2	Paid amount	支払済金額	0..1	Amount	3150	/Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount
227	ibg-22	ibt-114	2	Rounding amount	丸めるための金額	0..1	Amount	3160	/Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount
228	ibg-22	ibt-115	2	Amount due for payment	差引請求金額	1..1	Amount	3170	/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount
229	ibg-00	ibg-23	1	TAX BREAKDOWN	税内訳情報	1..n	Group	3010	/Invoice/cac:TaxTotal/cac:TaxSubtotal
230	ibg-23	ibt-116	2	TAX category taxable amount	課税分類毎の課税基準額	1..1	Amount	3020	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount
231	ibg-23	ibt-117	2	TAX category tax amount	課税分類毎の消費税額	1..1	Amount	3030	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount
								3040	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory
233	ibg-23	ibt-118	2	TAX category code	課税分類コード	1..1	Code	3050	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID
								3052	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme
235	ibt-118	ibt-118-1	3	Tax Scheme	税スキーマ	0..1	Scheme	3054	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID
236	ibg-23	ibt-119	2	TAX category rate	課税分類毎の税率	0..1	Percent	3060	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
237	ibg-23	ibt-120	2	TAX exemption reason text	非課税理由テキスト	0..1	Text	3080	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason
238	ibg-23	ibt-121	2	TAX exemption reason code	非課税理由コード	0..1	Code	3070	/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode
239	ibg-00	ibg-24	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類	0..n	Group	1320	/Invoice/cac:AdditionalDocumentReference
240	ibg-24	ibt-122	2	Supporting document reference	添付書類への参照	1..1	Document Reference	1330	/Invoice/cac:AdditionalDocumentReference/cbc:ID
241	ibg-24	ibt-123	2	Supporting document description	添付書類の説明	0..1	Text	1360	/Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription
								1370	/Invoice/cac:AdditionalDocumentReference/cac:Attachment
								1410	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference
244	ibg-24	ibt-124	2	External document location	添付書類の保管場所(外部)	0..1	Text	1420	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI
245	ibg-24	ibt-125	2	Attached document	添付書類	0..1	Binary Objects	1380	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject
246	ibt-125	ibt-125-1	3	Attached document Mime code	添付書類MIMEコード	1..1	Scheme	1390	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode
247	ibt-125	ibt-125-2	3	Attached document Filename	添付書類ファイル名	1..1	Scheme	1400	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename
248	ibg-00	ibg-25	1	INVOICE LINE	請求書明細行	1..n	Group	3180	/Invoice/cac:InvoiceLine
249	ibg-25	ibt-126	2	Invoice line identifier	請求書明細行ID	1..1	Identifier	3190	/Invoice/cac:InvoiceLine/cbc:ID
250	ibg-25	ibt-127	2	Invoice line note	請求書明細行注釈	0..1	Text	3200	/Invoice/cac:InvoiceLine/cbc:Note
								3270	/Invoice/cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']
252	ibg-25	ibt-128	2	Invoice line object identifier	請求書明細行オブジェクトID	0..1	Identifier	3275	/Invoice/cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']/cbc:ID
253	ibt-128	ibt-128-1	3	Scheme identifier	スキーマID	0..1	Scheme	2178	/Invoice/cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID
								3280	/Invoice/cac:InvoiceLine/cac:DocumentReference[not(cbc:DocumentTypeCode='130')]
255	ibg-25	ibt-188	2	Invoice line document identifier	明細行文書参照	0..1	Document Reference	2185	/Invoice/cac:InvoiceLine/cac:DocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID
256	ibg-25	ibt-189	2	Document type code	文書タイプコード	0..1	Code	3290	/Invoice/cac:InvoiceLine/cac:DocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentTypeCode
257	ibg-25	ibt-129	2	Invoiced quantity	請求される数量	1..1	Quantity	3210	/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity
258	ibg-25	ibt-130	2	Invoiced quantity unit of measure code	請求される数量の数量単位コード	1..1	Code	3220	/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode
259	ibg-25	ibt-131	2	Invoice line net amount	値引/割引後請求書明細行金額(税抜き)	1..1	Amount	3230	/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount
								3250	/Invoice/cac:InvoiceLine/cac:OrderLineReference
261	ibg-25	ibt-132	2	Referenced purchase order line reference	購買発注明細行参照	0..1	Document Reference	3260	/Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID
262	ibg-25	ibt-183	2	Order reference	受注参照	0..1	Document Reference	3261	/Invoice/cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID
263	ibg-25	ibt-184	2	Despatch advice reference	出荷案内書(納品書)参照	0..1	Document Reference	3265	/Invoice/cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID
264	ibg-25	ibt-133	2	Invoice line Buyer accounting reference	請求書明細行買い手会計参照	0..1	Text	3240	/Invoice/cac:InvoiceLine/cbc:AccountingCost
265	ibg-25	ibg-26	2	INVOICE LINE PERIOD	請求書明細行の期間	0..1	Group	3242	/Invoice/cac:InvoiceLine/cac:InvoicePeriod
266	ibg-26	ibt-134	3	Invoice line period start date	請求書明細行の期間開始日	0..1	Date	3244	/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate
267	ibg-26	ibt-135	3	Invoice line period end date	請求書明細行の期間終了日	0..1	Date	3246	/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate
268	ibg-25	ibg-27	2	INVOICE LINE ALLOWANCES	請求書明細行の返還請求	0..n	Group	3330	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]
						1..1	Indicator	3340	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator
270	ibg-27	ibt-136	3	Invoice line allowance amount	請求書明細行の返還請求金額(税抜き)	1..1	Amount	3390	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
271	ibg-27	ibt-137	3	Invoice line allowance base amount	請求書明細行の返還請求金額の基準金額	0..1	Amount	3400	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
272	ibg-27	ibt-138	3	Invoice line allowance percentage	請求書明細行の返還請求の率	0..1	Percent	3370	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric
273	ibg-27	ibt-139	3	Invoice line allowance reason	請求書明細行の返還請求理由	0..1	Text	3360	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason
274	ibg-27	ibt-140	3	Invoice line allowance reason code	請求書明細行の返還請求理由コード	0..1	Code	3350	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode
275	ibg-25	ibg-28	2	INVOICE LINE CHARGES	請求書明細行の追加請求	0..n	Group	3410	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]
						1..1	Indicator	3415	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:ChargeIndicator
277	ibg-28	ibt-141	3	Invoice line charge amount	請求書明細行の追加請求金額(税抜き)	1..1	Amount	3450	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount
278	ibg-28	ibt-142	3	Invoice line charge base amount	請求書明細行の追加請求の基準金額	0..1	Amount	3460	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount
279	ibg-28	ibt-143	3	Invoice line charge percentage	請求書明細行の追加請求の率	0..1	Percent	3440	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:MultiplierFactorNumeric
280	ibg-28	ibt-144	3	Invoice line charge reason	請求書明細行の追加請求理由	0..1	Text	3430	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReason
281	ibg-28	ibt-145	3	Invoice line charge reason code	請求書明細行の追加請求理由コード	0..1	Code	3420	/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReasonCode
282	ibg-25	ibg-29	2	PRICE DETAILS	取引価格詳細	1..1	Group	3690	/Invoice/cac:InvoiceLine/cac:Price
283	ibg-29	ibt-146	3	Item net price	品目単価(値引/割引後)(税抜き)	1..1	Unit Price Amount	3710	/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount
								3745	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator
285	ibg-29	ibt-147	3	Item price discount	品目単価値引/割引(税抜き)	0..1	Unit Price Amount	3750	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
286	ibg-29	ibt-148	3	Item gross price	品目単価(値引/割引前)(税抜き)	0..1	Unit Price Amount	3760	/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
								2470	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine
288	ibg-29	ibt-149	3	Item price base quantity	品目単価基準数量	0..1	Quantity	3720	/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity
289	ibg-29	ibt-150	3	Item price base quantity unit of measure code	品目単価基準数量の数量単位コード	0..1	Code	3730	/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode
290	ibg-25	ibg-30	2	LINE TAX INFORMATION	請求書明細行税情報	1..n	Group	3540	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory
291	ibg-30	ibt-151	3	Invoiced item TAX category code	請求される品目に対する課税分類コード	1..1	Code	3550	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID
292	ibg-30	ibt-152	3	Invoiced item TAX rate	請求される品目に対する税率	0..1	Percent	3560	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent
293	ibg-30	ibt-185	3	TAX exemption reason text	非課税理由テキスト	0..1	Code	3564	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReasonCode
294	ibg-30	ibt-186	3	TAX exemption reason code	非課税理由コード	0..1	Text	3566	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:TaxExemptionReason
295	ibg-30	ibt-166	3	Unit TAX	単位税額	0..1	Amount	3562	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:PerUnitAmount
								3567	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme
297	ibg-30	ibt-167	3	Tax Scheme	税スキーマ	0..1	Scheme	3568	/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID
298	ibg-25	ibg-31	2	ITEM INFORMATION	品目情報	1..1	Group	3470	/Invoice/cac:InvoiceLine/cac:Item
299	ibg-31	ibt-153	3	Item name	品名	1..1	Text	3490	/Invoice/cac:InvoiceLine/cac:Item/cbc:Name
300	ibg-31	ibt-154	3	Item description	品目摘要	0..n	Text	3480	/Invoice/cac:InvoiceLine/cac:Item/cbc:Description
								3520	/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification
302	ibg-31	ibt-155	3	Item Seller's identifier	売り手による品目ID	0..1	Identifier	3530	/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID
								3500	/Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification
304	ibg-31	ibt-156	3	Item Buyer's identifier	買い手による品目ID	0..1	Identifier	3510	/Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID
								3570	/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification
306	ibg-31	ibt-157	3	Item standard identifier	品目標準ID	0..1	Identifier	3580	/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID
307	ibt-157	ibt-157-1	4	Scheme identifier	スキーマID	1..1	Scheme	3590	/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID
								3600	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification
309	ibg-31	ibt-158	3	Item classification identifier	品目分類ID	0..n	Identifier	3610	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode
310	ibt-158	ibt-158-1	4	Scheme identifier	スキーマID	1..1	Scheme	3620	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID
311	ibt-158	ibt-158-2	4	Scheme version identifier	スキーマのバージョンID	0..1	Scheme	3630	/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID
								3594	/Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry
313	ibg-31	ibt-159	3	Item country of origin	品目の原産国	0..1	Code	3596	/Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode
314	ibg-31	ibg-32	3	ITEM ATTRIBUTES	品目属性	0..n	Group	3660	/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty
315	ibg-32	ibt-160	4	Item attribute name	品目属性名	1..1	Text	3670	/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name
316	ibg-32	ibt-161	4	Item attribute value	品目属性値	1..1	Text	3680	/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value
