Sem Sort,ID,Level,Business term name ,日本語訳,Term semantic definition,説明,Additional explanation,追加説明,Example Value (値の例),Card.,Data Type,Section,BIS Extension,Synt Sort,UBL syntax binding Xpath,selectors,Attributes - adjustments,Codel list,Cardinality,Cardinality Alignment
1440,ibt-162,3,Seller address line 3,売り手住所欄3,An additional address line in an address that can be used to give further details supplementing the main line.,売り手の住所欄3。,,,,0..1,Text,Shared,,1610,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,1..1,CAR-1
,,,,,,,,,,,,,,1630,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country,,,,0..1,
1480,ibt-040,3,Seller country code ,売り手国コード,A code that identifies the country.,売り手の国コード。,,,JP,1..1,Code,Shared,,1640,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,,ISO3166,0..1,CAR-2
,,,,,,,,,,,,,,1650,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme,,,,0..n,
1370,ibt-031,2,Seller TAX identifier,売り手税ID,The Seller's TAX identifier (also known as Seller TAX identification number).,売り手の税ID番号。日本の場合は、適格請求書発行事業者登録番号\nT+法人番号（国税庁）。,"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.","日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",T1234567890123,0..1,Identifier,Aligned,,1660,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,"id qualifier is cac:TaxScheme/cbc:ID, e.g. VAT or GST","id qualifier is cac:TaxScheme/cbc:ID, e.g. VAT or GST",,0..1,
,,,,,,,,,,,,,,1661,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme,,,,1..1,
,,,,,,,,,,,,,,1662,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,,,,0..1,
1380,ibt-032,2,Seller TAX registration identifier,売り手税登録ID,The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,売り手住所により決まるローカルの売り手ID。 売り手が登録済みであることを示すための税登録ID。,,日本では使用しない？,,0..1,Identifier,Aligned,,1670,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,id qualifier is cac:TaxScheme/cbc:ID ,"id qualifier is cac:TaxScheme/cbc:ID, e.g. VAT or GST",,0..1,
,,,,,,,,,,,,,,1680,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme,,,,1..1,
,,,,,,,,,,,,,,1690,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,,,,0..1,
,,,,,,,,,,,,,,1700,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity,,,,0..n,
1310,ibt-027,2,Seller name,売り手名称,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,売り手を表す名称。売り手を表す法的に正式な名称。,,,株式会社 ○○商事,1..1,Text,Shared,,1710,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,,,,0..1,CAR-2
1350,ibt-030,2,Seller legal registration identifier,売り手法的企業ID,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,売り手を表す法的企業ID。,"The difference between ibt-029 and ibt-030 is in the semantics. ibt-29 is an identifier for the seller and any ICD registered identifier scheme can be used. ibt-30 is however specifically defined as the sellers legal registration identifier and is usually related to the companies registration with the country registrar or tax authorities. For each country there is usually only one identifiers scheme allowed as legal id. It is not uncommon that the seller identifier (ibt-29) is the same as the legal identifier (ibt-30) but their semantic meaning is different, in ibt-29 it is identifying it from a business perspective but in ibt-30 from a legal perspective. In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.","ibt-029とibt-030の違いは、セマンティック(意味)の違いである。 ibt-29は売り手のID/識別子であり、ICDに登録されているID/識別子スキーマであれば何でも使用できる。しかしながら、ibt-30は、売り手の法的登録IDとして具体的に定義されており、通常、国の登録機関または税務当局への企業登録に関連している。 各国ごとに、通常、法的IDとして認められているID/識別子スキーマは、ひとつだけである。売り手ID (ibt-29) が法的ID (ibt-30) と同じであることは珍しいことではないが、意味は異なる。ibt-29では、ビジネスの観点からのID/識別子であるが、ibt-30では、法的観点からのID/識別子である。日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",1.23457E+12,0..1,Identifier,Shared,,1720,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,,,,0..1,
1360,ibt-030-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。,"For example, 0188 Corporate Number of The Social Security and Tax Number System",例えば、0188 Corporate Number of The Social Security and Tax Number System (社会保障・税番号制度の法人番号),188,0..1,Scheme identifier of Identifier,Shared,,1730,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,ICD,-,
1390,ibt-033,2,Seller additional legal information,売り手追加法的情報,Additional legal information relevant for the Seller. ,売り手に関する追加の法的情報。,,,,0..1,Text,Shared,,1740,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm,,,,0..1,
1490,ibg-06,2,SELLER CONTACT ,売り手連絡先,A group of business terms providing contact information about the Seller. ,売り手の連絡先に係る情報。,,,,0..1,Group,,,1750,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,,,,0..1,
1500,ibt-041,3,Seller contact point ,売り手連絡先,A contact point for a legal entity or person.,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,,,青木　志郎,0..1,Text,Shared,,1760,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name,,,,0..1,
1510,ibt-042,3,Seller contact telephone number,売り手連絡先電話番号,A phone number for the contact point. ,売り手の連絡先電話番号。,,,03-3xxx-0001,0..1,Text,Shared,,1770,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone,,,,0..1,
1520,ibt-043,3,Seller contact email address,売り手連絡先電子メールアドレス,An e-mail address for the contact point. ,売り手の連絡先電子メールアドレス。,,,shirou_aoki@〇〇co.jp,0..1,Text,Shared,,1780,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail,,,,0..1,
1530,ibg-07,1,BUYER ,買い手,A group of business terms providing information about the Buyer. ,買い手に係る情報。,,,,1..1,Group,,,1790,/Invoice/cac:AccountingCustomerParty,,,,1..1,
,,,,,,,,,,,,,,1800,/Invoice/cac:AccountingCustomerParty/cac:Party,,,,0..1,
1610,ibt-049,2,Buyer electronic address,買い手電子アドレス,Identifies the Buyer's electronic address to which the invoice is delivered.,請求書の送信先となる買い手の電子アドレスを識別する。,,,JP3210987654321,0..1,Identifier,Shared,,1810,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID,,,,0..1,
1620,ibt-049-1,3,Scheme identifier,スキーマID,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code, 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. ","0147 Standard Company Code (JIPDECが発番/管理しているコード), 0170 Teikoku Company Code (帝国データバンクの企業コード), 0188 Corporate Number of The Social Security and Tax Number System (社会保障・税制度の法人番号) をEASリストに追加してもらうよう、変更リクエストをOpenPEPPOLに提出済。",188,1..1,Scheme identifier of Identifier,Shared,,1820,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID,,,eas,-,
,,,,,,,,,,,,,,1830,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification,,,,0..n,
1560,ibt-046,2,Buyer identifier ,買い手ID,An identifier of the Buyer.,買い手を表すID。,,,1020,0..n,Identifier,Shared,,1840,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID,,,,1..1,CAR-4
1570,ibt-046-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。,"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company.",例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。,,0..1,Scheme identifier of Identifier,Shared,,1850,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,,,ICD,-,
,,,,,,,,,,,,,,1860,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName,,,,0..n,
1550,ibt-045,2,Buyer trading name,買い手商号,"A name by which the Buyer is known, other than Buyer name (also known as Business name).",買い手名称以外で、知られているビジネス上の名称。,,,株式会社 藤山物産,0..1,Text,Shared,,1870,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name,,,,1..1,CAR-1
1630,ibg-08,2,BUYER POSTAL ADDRESS,買い手住所,A group of business terms providing information about the postal address for the Buyer.,買い手の住所に関する情報。,,,,1..1,Group,,,1880,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress,,,,0..1,CAR-2
1640,ibt-050,3,Buyer address line 1 ,買い手住所欄1,The main address line in an address. ,買い手の住所欄1。,,,北区,0..1,Text,Shared,,1890,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName,,,,0..1,
1650,ibt-051,3,Buyer address line 2,買い手住所欄2,An additional address line in an address that can be used to give further details supplementing the main line.,買い手の住所欄2。,,,北十二条西76-X,0..1,Text,Shared,,1900,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,,,,0..1,
1670,ibt-052,3,Buyer city,買い手住所 市区町村,"The common name of the city, town or village, where the Buyer's address is located.",買い手住所 市区町村。,,,札幌市,0..1,Text,Shared,,1910,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName,,,,0..1,
1680,ibt-053,3,Buyer post code,買い手郵便番号,The identifier for an addressable group of properties according to the relevant postal service.,買い手の郵便番号。,,,001-0012,0..1,Text,Shared,,1920,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone,,,,0..1,
1690,ibt-054,3,Buyer country subdivision ,買い手住所 都道府県,The subdivision of a country. ,買い手住所の地方区分。日本の場合は、都道府県。,,,北海道,0..1,Text,Shared,,1930,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,,,,0..1,
,,,,,,,,,,,,,,1940,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine,,,,0..n,
1660,ibt-163,3,Buyer address line 3,買い手住所欄3,An additional address line in an address that can be used to give further details supplementing the main line.,買い手の住所欄3。,,,,0..1,Text,Shared,,1950,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,1..1,CAR-1
,,,,,,,,,,,,,,1960,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country,,,,0..1,
1700,ibt-055,3,Buyer country code ,買い手国コード,A code that identifies the country.,買い手の国コード。,,,JP,1..1,Code,Shared,,1970,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,,ISO3166,0..1,CAR-2
,,,,,,,,,,,,,,1980,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme,,,,0..n,
1600,ibt-048,2,Buyer TAX identifier,買い手税ID,The Buyer's TAX identifier (also known as Buyer TAX identification number).,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,,T+法人番号（国税庁）。,T3210987654321,0..1,Identifier,Aligned,,1990,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,,,,0..1,
,,,,,,,,,,,,,,2000,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme,,,,1..1,
,,,,,,,,,,,,,,2010,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,,,,0..1,
,,,,,,,,,,,,,,2020,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity,,,,0..n,
1540,ibt-044,2,Buyer name ,買い手名称,The full name of the Buyer. ,買い手の名称。,,,株式会社 藤山物産 札幌支社,1..1,Text,Shared,,2030,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,,,,0..1,CAR-2
1580,ibt-047,2,Buyer legal registration identifier,買い手法的企業ID,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,買い手を表す法的企業ID。,,,654321:000321:0147:1,0..1,Identifier,Shared,,2040,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,,,,0..1,
1590,ibt-047-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。,"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company.",例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。,147,0..1,Scheme identifier of Identifier,Shared,,2050,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,ICD,-,
1710,ibg-09,2,BUYER CONTACT,買い手連絡先,A group of business terms providing contact information relevant for the Buyer.,買い手の連絡先に係る情報。,,,,0..1,Group,,,2060,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact,,,,0..1,
1720,ibt-056,3,Buyer contact point ,買い手連絡先,A contact point for a legal entity or person.,買い手の連絡先。,,,株式会社 藤山物産 札幌支社,0..1,Text,Shared,,2070,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name,,,,0..1,
1730,ibt-057,3,Buyer contact telephone number,買い手連絡先電話番号,A phone number for the contact point. ,買い手の連絡先電話番号。,,,,0..1,Text,Shared,,2080,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone,,,,0..1,
1740,ibt-058,3,Buyer contact email address,買い手連絡先電子メールアドレス,An e-mail address for the contact point. ,買い手の連絡先電子メールアドレス。,,,purchaser@fujiyamabussan.co.jp,0..1,Text,Shared,,2090,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail,,,,0..1,
1750,ibg-10,1,PAYEE,支払先,"A group of business terms providing information about the Payee, i.e. the role that receives the payment.",支払先に係る情報。,,,,0..1,Group,,,2100,/Invoice/cac:PayeeParty,,,,0..1,
,,,,,,,,,,,,,,2110,/Invoice/cac:PayeeParty/cac:PartyIdentification,,,,0..n,
1770,ibt-060,2,Payee identifier ,支払先ID,An identifier for the Payee.,支払先のID。,,,,0..1,Identifier,Shared,,2120,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID,,,,1..1,CAR-1
1780,ibt-060-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。,,,,0..1,Scheme identifier of Identifier,Shared,,2125,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID,,,"ICD,SEPA",-,
,,,,,,,,,,,,,,2130,/Invoice/cac:PayeeParty/cac:PartyName,,,,0..n,
1760,ibt-059,2,Payee name ,支払先名称,The name of the Payee.,支払先の名称。,,,,1..1,Text,Shared,,2140,/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name,,,,1..1,
,,,,,,,,,,,,,,2160,/Invoice/cac:PayeeParty/cac:PartyLegalEntity,,,,0..n,
1790,ibt-061,2,Payee legal registration identifier,支払先登録企業ID,An identifier issued by an official registrar that identifies the Payee as a legal entity or person.,支払先の国際企業ID。,,,,0..1,Identifier,Shared,,2170,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID,,,,0..1,
1800,ibt-061-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。,,,,0..1,Scheme identifier of Identifier,Shared,,2180,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,ICD,-,
1810,ibg-11,1,SELLER TAX REPRESENTATIVE PARTY,売り手納税管理人,A group of business terms providing information about the Seller's tax representative.,売り手の納税管理人に係る情報。,"An example is Italy. However, if this does not sound familiar, the concept of tax representative parties is not relevant to Japan.",イタリアで使われている例はある。しかしながら、馴染みがないようであれば、納税管理人の概念は日本では関係がない。,,0..1,Group,,,2190,/Invoice/cac:TaxRepresentativeParty,,,,0..1,
,,,,,,,,,,,,,,2200,/Invoice/cac:TaxRepresentativeParty/cac:PartyName,,,,0..n,
1820,ibt-062,2,Seller tax representative name,売り手納税管理人名称,The full name of the Seller's tax representative party. ,売り手の納税管理人名称。,,,,1..1,Text,Aligned,,2210,/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name,,,,1..1,
1840,ibg-12,2,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,売り手納税管理人住所,A group of business terms providing information about the postal address for the tax representative party.,納税管理人の住所に関する情報。,,,,1..1,Group,,,2260,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress,,,,0..1,CAR-2
1850,ibt-064,3,Tax representative address line 1 ,納税管理人住所欄1,The main address line in an address. ,納税管理人住所欄1。,,,,0..1,Text,Aligned,,2270,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName,,,,0..1,
1860,ibt-065,3,Tax representative address line 2,納税管理人住所欄2,An additional address line in an address that can be used to give further details supplementing the main line.,納税管理人住所欄2。,,,,0..1,Text,Aligned,,2280,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName,,,,0..1,
1880,ibt-066,3,Tax representative city,納税管理人住所 市区町村,"The common name of the city, town or village, where the tax representative address is located.",納税管理人住所 市区町村。,,,,0..1,Text,Aligned,,2290,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName,,,,0..1,
1890,ibt-067,3,Tax representative post code,納税管理人郵便番号,The identifier for an addressable group of properties according to the relevant postal service.,納税管理人郵便番号。,,,,0..1,Text,Aligned,,2300,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone,,,,0..1,
1900,ibt-068,3,Tax representative country subdivision ,納税管理人住所 都道府県,The subdivision of a country. ,納税管理人住所の地方区分。日本の場合は、都道府県。,,,,0..1,Text,Aligned,,2310,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity,,,,0..1,
,,,,,,,,,,,,,,2320,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine,,,,0..n,
1870,ibt-164,3,Tax representative address line 3,納税管理人住所欄3,An additional address line in an address that can be used to give further details supplementing the main line.,納税管理人住所欄3。,,,,0..1,Text,Aligned,,2330,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,1..1,CAR-1
,,,,,,,,,,,,,,2340,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country,,,,0..1,
1910,ibt-069,3,Tax representative country code ,納税管理人国コード,A code that identifies the country.,納税管理人国コード。,,,,1..1,Code,Aligned,,2350,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,,ISO3166,0..1,CAR-2
,,,,,,,,,,,,,,2352,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme,,,,0..n,
1830,ibt-063,2,Seller tax representative TAX identifier,売り手納税管理人税ID,The TAX identifier of the Seller's tax representative party.,売り手の納税管理人の税ID。日本の場合は、納税管理人の適格請求書発行事業者登録番号(T+法人番号(国税庁))。,,,,1..1,Identifier,Aligned,,2354,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID,,,,0..1,CAR-2
1835,ibt-063-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",税の種類を示すコード。,"""VAT"" is used for Japan Consumption Tax.",日本の消費税については、VAT を使用する。,,0..1,Scheme identifier of Identifier,Aligned,,2355,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID/@schemeID,,#N/A,,#N/A,
,,,,,,,,,,,,,,2356,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme,,,,1..1,
,,,,,,,,,,,,,,2358,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,,,,0..1,
1920,ibg-13,1,DELIVERY INFORMATION,納入先,A group of business terms providing information about where and when the goods and services invoiced are delivered.,納入先に係る情報。,,合算請求書には複数の納入先が含まれることがあるので明細行レベルで 0..n,,0..1,Group,,,2360,/Invoice/cac:Delivery,,,,0..n,CAR-3
1960,ibt-072,2,Actual delivery date,実際納入日,the date on which the supply of goods or services was made or completed.,実際の納入日。,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,44259,0..1,Date,Shared,,2370,/Invoice/cac:Delivery/cbc:ActualDeliveryDate,,,,0..n,CAR-3
,,,,,,,,,,,,,,2380,/Invoice/cac:Delivery/cac:DeliveryLocation,,,,0..1,
1940,ibt-071,2,Deliver to location identifier,納入先ID,An identifier for the location at which the goods and services are delivered.,納入先の場所ID。,,,,0..1,Identifier,Shared,,2390,/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID,,,,0..1,
1950,ibt-071-1,3,Scheme identifier,スキーマID,"If used, the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO/IEC 6523 の保守機関によって公開されたリストから選択しなければならない。,"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company.",例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。,,0..1,Scheme identifier of Identifier,Shared,,2400,/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID,,,ICD,-,
2000,ibg-15,2,DELIVER TO ADDRESS,納入先住所,A group of business terms providing information about the address to which goods and services invoiced were or are delivered.,請求される財/サービスの納入先の住所に関する情報,,,,0..1,Group,,,2410,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address,,,,0..1,
2010,ibt-075,3,Deliver to address line 1 ,納入先住所欄1,The main address line in an address. ,納入先の住所欄1。,,,北海道札幌市北区,0..1,Text,Shared,,2420,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName,,,,0..1,
2020,ibt-076,3,Deliver to address line 2,納入先住所欄2,An additional address line in an address that can be used to give further details supplementing the main line.,納入先の住所欄2。,,,北十二条西76-X,0..1,Text,Shared,,2430,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName,,,,0..1,
2040,ibt-077,3,Deliver to city,納入先住所 市区町村,"The common name of the city, town or village, where the deliver to address is located.",納入先住所 市区町村。,,,北海道札幌市,0..1,Text,Shared,,2440,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName,,,,0..1,
2050,ibt-078,3,Deliver to post code,納入先郵便番号,The identifier for an addressable group of properties according to the relevant postal service.,納入先の郵便番号。,,,001-0012,0..1,Text,Shared,,2450,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone,,,,0..1,
2060,ibt-079,3,Deliver to country subdivision ,納入先住所 都道府県,The subdivision of a country. ,納入先住所の地方区分。日本の場合は、都道府県。,,,,0..1,Text,Shared,,2460,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity,,,,0..1,
,,,,,,,,,,,,,,2470,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine,,,,0..n,
2030,ibt-165,3,Deliver to address line 3,納入先住所欄3,An additional address line in an address that can be used to give further details supplementing the main line.,納入先の住所欄3。,,,,0..1,Text,Shared,,2480,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line,,,,1..1,CAR-1
,,,,,,,,,,,,,,2490,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country,,,,0..1,
2070,ibt-080,3,Deliver to country code ,納入先国コード,A code that identifies the country.,納入先の国コード。,,,JP,1..1,Code,Shared,,2500,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode,,,ISO3166,0..1,CAR-2
,,,,,,,,,,,,,,2510,/Invoice/cac:Delivery/cac:DeliveryParty,,,,0..1,
