num	行番号	ヘッダ/明細	国連CEFACT BIE辞書ID番号	項目種	DictionaryEntryName	"項目名 =SUBSTITUTE(G1,CHAR(10),"""")"	項目定義	繰返し	補足１	補足２	補足３	制定/改定	非公開	中小基本必須	適格請求書対応	情報項目名	備考
1_41_95_138_140	140	ヘッダ部	UN01005741	BBIE	CI_ Trade_ Currency Exchange. Target Currency. Code	為替交換先通貨コード	為替における交換先通貨を表すコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_41_95_138_141	141	ヘッダ部	UN01005744	BBIE	CI_ Trade_ Currency Exchange. Conversion. Rate	為替レート	為替交換のレート	0..1				v1					
1_41_95_138_142	142	ヘッダ部	UN01005745	BBIE	CI_ Trade_ Currency Exchange. Conversion Rate. Date  Time	為替レート日時	為替交換レートの適用日。	0..1	日時様式			v1					
1_41_95_144	143	ヘッダ部	UN01005924	ASBIE	CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax	請求決済／取引税アソシエーション	請求決済の取引税に関わるアソシエーション	0..n				v1/v2					
1_41_95_144_0	144	ヘッダ部	UN01005832	ABIE	CI_ Trade_ Tax. Details	取引税クラス	取引税に係る情報からなるクラス	−				v1					
1_41_95_144_145	145	ヘッダ部	UN01005833	BBIE	CI_ Trade_ Tax. Calculated. Amount	税額合計	税区分毎の税額の合計。	0..1	通貨コード			v2			◎	税額	**
1_41_95_144_146	146	ヘッダ部	UN01005834	BBIE	CI_ Trade_ Tax. Type. Code	税タイプコード	税の種類(消費税、関税等)を識別するコー ド	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1/v2					
1_41_95_144_147	147	ヘッダ部	UN01005839	BBIE	CI_ Trade_ Tax. Basis. Amount	課税対象金額（税抜き）	税区分ごとの税抜き課税対象合計金額	0..1	通貨コード			v2			◎		
1_41_95_144_148	148	ヘッダ部	UN01005841	BBIE	CI_ Trade_ Tax. Category. Code	税区分コード	消費税の計算属性(標準税率、軽減税率など)を識別するための区分コード。税クラ スの繰返しの自動識別キーとして使用	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1/v2	△		●		
1_41_95_144_149	149	ヘッダ部	UN01005850	BBIE	CI_ Trade_ Tax. Category Name.  Text	税区分	消費税の計算属性(標準税率、軽減税率な ど)を識別するための区分名	0..1				v2		〇		税区分	**
1_41_95_144_150	150	ヘッダ部	UN01007174	BBIE	CI_ Trade_ Tax. Rate_ Applicable. Percent	税率	税額計算のための率。	0..1				v1/v2		〇	◎	税率	**
1_41_95_144_151	151	ヘッダ部	UN01013040	BBIE	CI_ Trade_ Tax. Grand  Total. Amount	課税対象金額（税込み）	税区分ごとの税込み課税対象合計金額	0..1	通貨コード			v2		（◎）			
1_41_95_144_152	152	ヘッダ部	JPS1800091	BBIE	CI_ Trade_ Tax. Calculation Method. Code	税計算方式	税計算方式（積上げ、割戻し等）を指定。	0..1				v2					
1_41_95_154	153	ヘッダ部	UN01005930	ASBIE	CIIH_ Supply Chain_ Trade Settlement. Specified. CIIH_ Trade Settlement_ Monetary Summation	請求決済／請求合計金 額アソシエーション	請求決済の請求合計金額に関わるアソシ エーション	1..1				v1					
1_41_95_154_0	154	ヘッダ部	UN01005941	ABIE	CIIH_ Trade Settlement_ Monetary Summation. Details	請求合計金額クラス	請求合計金額に係る情報からなるクラス	−				v1					
1_41_95_154_155	155	ヘッダ部	UN01005946	BBIE	CIIH_ Trade Settlement_ Monetary Summation. Tax Total.Amount	請求合計税額	請求明細消費税額の合計金額。	0..1	通貨コード			v1		〇		税額	**
1_41_95_154_156	156	ヘッダ部	UN01005948	BBIE	CIIH_ Trade Settlement_ Monetary Summation. Grand  Total. Amount	請求総合計金額	請求金額の総合計金額=請求合計金額（税抜き）＋請求合計税額	0..1	通貨コード			v1		〇			
1_41_95_154_157	157	ヘッダ部	UN01008451	BBIE	CIIH_ Trade Settlement_ Monetary Summation. Net_ LineTotal. Amount	請求合計金額（税抜き）	税抜きの請求合計金額。	0..1	通貨コード			v1					
1_41_95_154_158	158	ヘッダ部	UN01008452	BBIE	CIIH_ Trade Settlement_ Monetary Summation. NetIncluding Taxes_ Line Total. Amount	請求合計金額（税込み）	税込みの請求合計金額。	0..1	通貨コード			v2					
1_41_160	159	明細部	UN01005940	ASBIE	CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item	請求取引内容／請求明 細行アソシエーション	請求アソシエーション取引内容の明細行に 関わるアソシエーション。	0..n				v1					
1_41_160_0	160	明細部	UN01005988	ABIE	CIIL_ Supply Chain_ Trade Line Item. Details	請求明細行クラス	請求の明細行に関わる情報からなるクラス。	−				v1					
1_41_160_162	161	明細部	UN01005989	ASBIE	CIIL_ Supply Chain_ Trade Line Item. Associated. CIIL_ Document Line_ Document	請求明細行／請求明細 関係文書アソシエー ション	請求明細行の関係文書に関わるアソシエー ション。	0..1				v1					
1_41_160_162_0	162	明細部	UN01005953	ABIE	CIIL_ Document Line_ Document. Details	請求明細文書クラス	請求文書明細に関わる情報からなるクラス。	−				v1					
1_41_160_162_163	163	明細部	UN01005954	BBIE	CIIL_ Document Line_ Document. Line. Identifier	請求明細行番号	複数明細請求の場合に明細ごとの請求を特 定するために付与した番号。明細行を識別 するために付番する場合は請求番号との複 合キーで請求明細を特定する。	0..1				v1		〇		行番号	***
1_41_160_162_165	164	明細部	UN01005957	ASBIE	CIIL_ Document Line_ Document. Included. CI_ Note	請求明細文書／請求明細注釈アソシエーショ ン	当該文書行に含まれる注釈	0..n				v1					
1_41_160_162_165_0	165	明細部	UN01005557	ABIE	CI_ Note. Details	請求明細注釈クラス	明細注釈を記述するクラス	-				v1					
1_41_160_162_165_166	166	明細部	UN01005558	BBIE	CI_ Note. Subject. Text	請求明細注釈表題n	明細注釈内容の表題を示す。	0..1	言語コード			v1					
1_41_160_162_165_167	167	明細部	UN01005560	BBIE	CI_ Note. Content. Text	請求明細注釈内容n	明細注釈表題ごとの内容情報を入力するフリースペース。	0..1	言語コード			v1					
1_41_160_162_165_168	168	明細部	UN01005562	BBIE	CI_ Note. Identification. Identifier	請求明細注釈識別子	明細注釈の識別番号	0..1				v1	△				
1_41_160_170	169	明細部	UN01005990	ASBIE	CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_Trade Agreement	請求明細行／契約アソ シエーション	請求明細行の請求明細契約に関わるアソシ エーション。	0..1				v1					
1_41_160_170_0	170	明細部	UN01005958	ABIE	CIIL_ Supply Chain_ Trade Agreement. Details	請求明細契約クラス	請求明細行毎の契約に関わる情報からなる クラス。	−				v1					
1_41_160_170_172	171	明細部	UN01005960	ASBIE	CIIL_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document	請求明細契約／注文回 答書アソシエーション	請求明細行が参照する注文回答書明細に関 わるアソシエーション。	0..1				v1					
1_41_160_170_172_0	172	明細部	UN01005579	ABIE	CI_ Referenced_ Document. Details	（参照）受注書明細ク ラス	参照する受注書明細に関わる情報からなる クラス。	−				v1					
1_41_160_170_172_173	173	明細部	UN01005580	BBIE	CI_ Referenced_ Document. Issuer Assigned_Identification. Identifier	（参照）受注番号	当該請求書が参照する受注書に記載の受注番号	0..1				v1				受注番号	***
1_41_160_170_172_174	174	明細部	UN01005585	BBIE	CI_ Referenced_ Document. Line. Identifier	（参照）受注明細行番 号	当該請求明細が参照する受注書明細に記載 の受注者が附番した受注明細行番号	0..1				v1					
1_41_160_170_176	175	明細部	UN01005961	ASBIE	CIIL_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document	請求明細契約／注文書 アソシエーション	請求明細行が参照する注文書明細に関わる アソシエーション。	0..1				v1					
1_41_160_170_176_0	176	明細部	UN01005579	ABIE	CI_ Referenced_ Document. Details	（参照）注文書明細ク ラス	参照する注文書明細に関わる情報からなる クラス。	−				v1					
1_41_160_170_176_177	177	明細部	UN01005580	BBIE	CI_ Referenced_ Document. Issuer Assigned_Identification. Identifier	（参照）注文番号	当該請求明細行が参照する契約注文書に記載の注文番号	0..1				v1				発注番号	***
1_41_160_170_176_178	178	明細部	UN01005585	BBIE	CI_ Referenced_ Document. Line. Identifier	（参照）注文明細行番号	当該請求明細が参照する注文書明細に記載の発注者が附番した注文明細行番号	0..1				v1					
1_41_160_170_180	179	明細部	UN01005967	ASBIE	CIIL_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price	請求明細行契約／取引 価格アソシエーション	請求明細契約の取引価格に関わるアソシ エーション。	0..1				v1					
1_41_160_170_180_0	180	明細部	UN01005790	ABIE	CI_ Trade_ Price. Details	取引価格クラス	請求明細行毎の取引価格に関わる情報からなるクラス。	−				v1					
1_41_160_170_180_181	181	明細部	UN01005791	BBIE	CI_ Trade_ Price. Type. Code	単価区分コード	単価の種別を示すコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_41_160_170_180_182	182	明細部	UN01005792	BBIE	CI_ Trade_ Price. Charge. Amount	契約単価	発注者と受注者が合意した明細発注品の１単位あたり契約単価(税抜き)。	0..1	通貨コード			v1		〇		単価	***
1_41_160_184	183	明細部	UN01005991	ASBIE	CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Delivery	請求明細行／配送アソ シエーション	請求明細行に指定された配送に関するアソ シエーション	0..1				v1					
1_41_160_184_0	184	明細部	UN01005968	ABIE	CIIL_ Supply Chain_ Trade Delivery. Details	請求明細配送クラス	請求書明細の配送に関わるクラス	-				v1					
1_41_160_184_185	185	明細部	UN01005969	BBIE	CIIL_ Supply Chain_ Trade Delivery. Billed. Quantity	請求数量	当該配送の明細品目で請求した数量	0..1	単位コード			v1		〇		数量	***
1_41_160_184_186	186	明細部	UN01011517	BBIE	CIIL_ Supply Chain_ Trade Delivery. Requested. Quantity	要求数量	当該配送明細品目に対する発注者の要求数 量	0..1	単位コード			v1					
1_41_160_188	187	明細部	UN01005986	ASBIE	CIIL_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event	請求明細配送／取引事 象アソシエーション	請求明細の実納品作業に関わるアソシエ― ション	0..1				v1					
1_41_160_188_0	188	明細部	UN01005626	ABIE	CI_ Supply Chain_ Event. Details	配送作業クラス	実納品に関わる情報からなるクラス	−				v1					
1_41_160_188_189	189	明細部	UN01005627	BBIE	CI_ Supply Chain_ Event. Identification. Identifier	納入番号	受注者が附番した納入書に記載の納入番号	0..1				v1				納入番号	***
1_41_160_188_190	190	明細部	UN01005628	BBIE	CI_ Supply Chain_ Event. Occurrence. Date  Time	出荷日時	品目の配送日/時刻。<消費税：物品取引による資産譲渡の場合◎>	0..1	日時様式			v1		（◎）		納入日時	***
1_41_160_192	191	明細部	UN01006041	ASBIE	CIIL_ Supply Chain_ Trade Delivery. Delivery Note_ Referenced. CI_ Referenced_ Document	請求明細配送／参照納品書明細アソシエー ション	請求明細が参照する納品書明細に関するア ソシエーション	0..1				v1					
1_41_160_192_0	192	明細部	UN01005579	ABIE	CI_ Referenced_ Document. Details	（参照）納品書明細クラス	当該請求が参照する出荷案内書明細に関わるクラス	-				v1					
1_41_160_192_193	193	明細部	UN01005580	BBIE	CI_ Referenced_ Document. Issuer Assigned_ Identif	（参照）納品書番号	当該請求書が参照する納品書を特定する番号	0..1				v1		〇		納品伝票番号	***
1_41_160_192_194	194	明細部	UN01005582	BBIE	CI_ Referenced_ Document. Issue. Date  Time	（参照）納品書発行日	この請求書が参照する納品書に受注者が記載した発送を行った日付，または納品書の 書面上の発行日付。	0..1	日時様式			v1					
1_41_160_192_195	195	明細部	JPS1900002	BBIE	CI_ Referenced_ Document. Category. Code	（参照）納品書類型 コード	この請求書が参照する納品書の類型（適格請求書等対応、適格請求書等非対応等）を 識別するコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2			●		
1_41_160_192_196	196	明細部	UN01005585	BBIE	CI_ Referenced_ Document. Line. Identifier	（参照）納品明細行番号	当該請求書が参照する納品書に記載の受注者が附番した納品明細行番号	0..1				v1					
1_41_160_192_197	197	明細部	UN01005589	BBIE	CI_ Referenced_ Document. Name.  Text	（参照）納品書名	この請求書が参照する受注者が納品書に付 与した文書名称	0..1	言語コード			v1					
1_41_160_192_198	198	明細部	UN01009672	BBIE	CI_ Referenced_ Document. Type. Code	（参照）文書タイプ コード	この請求書が参照する文書が納品書である ことを識別する区分コード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_41_160_200	199	明細部	UN01005992	ASBIE	CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_Trade Settlement	検収明細行／検収明細決済アソシエーション	検検収明細行の検収明細決済に関わるアソシエーション。	0..1				v1					
1_41_160_200_0	200	明細部	UN01005994	ABIE	CIIL_ Supply Chain_ Trade Settlement. Details	検収明細決済クラス	検収明細行毎の決済に関わる情報からなるクラス。	-				v1					
1_41_160_200_201	201	明細部	UN01005995	BBIE	CIIL_ Supply Chain_ Trade Settlement. Payment Reference.Text	支払参照情報	当該決済の支払に関する参照情報	0..1	言語コード			v1					
1_41_160_200_203	202	明細部	UN01005996	ASBIE	CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax	請求明細決済／取引税アソシエーション	請求明細決済の取引税に関わるアソシエーション	0..n				v1/v2					
1_41_160_200_203_0	203	明細部	UN01005832	ABIE	CI_ Trade_ Tax. Details	取引税クラス	取引税に係る情報からなるクラス	-				v1					
1_41_160_200_203_204	204	明細部	UN01005833	BBIE	CI_ Trade_ Tax. Calculated. Amount	明細税額	税の金額。（明細行の消費税額算出は認められない）	0..1	通貨コード			v2					
1_41_160_200_203_205	205	明細部	UN01005834	BBIE	CI_ Trade_ Tax. Type. Code	税タイプコード	税の種類(消費税、関税など）を識別するコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1/v2					
1_41_160_200_203_206	206	明細部	UN01005839	BBIE	CI_ Trade_ Tax. Basis. Amount	課税対象明細金額（税 抜き）	税抜き消費税課税対象明細金額（＝単価 (税抜き)×検収数量）	0..1				v2					
1_41_160_200_203_207	207	明細部	UN01005841	BBIE	CI_ Trade_ Tax. Category. Code	税区分コード	消費税の計算属性(標準税率、軽減税率な ど)を識別するための区分コード。税クラ スの繰返しの自動識別キーとして使用	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1/v2	△		●		
1_41_160_200_203_208	208	明細部	UN01005850	BBIE	CI_ Trade_ Tax. Category Name.  Text	税区分	消費税の計算属性(標準税率、軽減税率な ど)を識別するための区分名	0..1				v2		（◎）		税区分	**
1_41_160_200_203_209	209	明細部	UN01007174	BBIE	CI_ Trade_ Tax. Rate_ Applicable. Percent	税率	税額計算のための率。	0..1				v1/v2					
1_41_160_200_203_210	210	明細部	UN01013040	BBIE	CI_ Trade_ Tax. Grand  Total. Amount	課税対象明細金額（税 込み）	税込み消費税課税対象明細金額（＝単価 (税込み)×数量）	0..1				v2					
1_41_160_200_203_211	211	明細部	JPS1800091	BBIE	CI_ Trade_ Tax. Calculation Method. Code	税計算方式	税計算方式（積上げ、割戻し等）を指定。	0..1				v2					
1_41_160_213	212	明細部	UN01006002	ASBIE	CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation	請求明細決済／請求明 細合計金額アソシエー ション	請求明細行決済の請求合計金額に関わるア ソシエーション	0..1				v1					
1_41_160_213_0	213	明細部	UN01006006	ABIE	CIIL_ Trade Settlement_ Monetary Summation. Details	請求明細合計金額クラス	請求合計金額に係る情報からなるクラス	-				v1					
1_41_160_213_214	214	明細部	UN01008456	BBIE	CIIL_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount	請求明細金額（税抜き）	発注品明細の請求金額(税抜き）。（税抜 き単価×数量）	0..1	通貨コード			v1					
1_41_160_213_215	215	明細部	UN01013030	BBIE	CIIL_ Trade Settlement_ Monetary Summation.Including Taxes_ Line Total. Amount	請求明細金額（税込み）	発注品明細の請求金額(税込み）。（税込み単価×数量）	0..1	通貨コード			v1					
1_41_160_217	216	明細部	UN01005993	ASBIE	CIIL_ Supply Chain_ Trade Line Item. Specified. CI_ Trade_ Product	請求明細行／取引品目 アソシエーション	請求明細行の取引品目に関わるアソシエー ション。	0..1				v1					
1_41_160_217_0	217	明細部	UN01005809	ABIE	CI_ Trade_ Product. Details	取引品目クラス	発注品（注文明細行の取引品目）に関わる 情報からなるクラス。	-				v1					
1_41_160_217_218	218	明細部	UN01005813	BBIE	CI_ Trade_ Product. Buyer Assigned_ Identification. Identifier	品名コード	発注者が発注品の品名を特定するために付 与したコード	0..1				v1				製品コード	***
1_41_160_217_219	219	明細部	UN01005815	BBIE	CI_ Trade_ Product. Name.  Text	品名	発注品の品名。	0..1	言語コード			v1				製品名	***
1_41_160_217_220	220	明細部	UN01005817	BBIE	CI_ Trade_ Product. Description. Text	品目摘要	このCI取引品目を文字で説明したもの	0..1	言語コード			v1		（◎）		製品名	***
