
 CII	BRS : Cross Industry Invoicing Process				 	Header section				 
 	Grouping of Document Details				 
INV-0144	0..1	Gross weight	The weight of the goods including packing but excluding the carriers’ equipment of the invoice line.		Line_ Trade Delivery. Gross Weight. Measure 
INV-0145	0..1	Net weight	The weight of the goods themselves without any packing. (net weight) of the invoice line		Line_ Trade Delivery. Net Weight. Measure 
INV-0146	0..1	Theoretical weight	The calculated weight of the goods of the invoice based on the dimensions		Line_ Trade Delivery. Theoretical Weight. 
 			ordered.		Measure 
INV-0147	0..1	Consignor party	"Party which, by contract with a carrier, consigns or sends goods with the carrier, or has them conveyed by him. Synonym: shipper, sender."	Details see CSC- PAR	Supply Chain_ Consignment. Consignor. Trade_ Party 
INV-0148	0..1	Consignee party	Party to which goods are consigned.	Details see CSC- PAR	Supply Chain_ Consignment. Consignee. Trade_ Party 
INV-0150	0..1	Number of packages	The total number of packages comprising an invoice line.		Line_ Trade Delivery. Package. Quantity 
INV-0151	0..1	Type of package	Specifying the type of package, e.g., box. Carton etc.	DE 7065	Supply Chain_ Packaging. Type. Code 
INV-0152	0..1	Mode of package	Description of the form in which goods are presented.		Supply Chain_ Packaging. Description. Text 
INV-0153	0..1	Transport mode	The code specifying the mode of transport.		Logistics_ Transport Movement. Mode. Text 
INV-0154	0..1	Transport means	The entity contains the identification of the means of transport (e.g., license plate of the lorry, wagon number, name of the vessel).		Logistics_ Transport Means. Identification. Identifier 
INV-0155	0..1	Marks and numbers	The information requested on the transport label of the package.		Packaging_ Marking. Content. Text Packaging_ Marking. Barcode_ Type. Code 					 
INV-0156	0..1	Transport charge amount	The amount including tax charged by shipper for moving goods, by whatever means, from one place to another.		Line_ Trade Settlement. Specified. Logistics_ Service Charge / Logistics_ Service Charge. Applied. Amount 
INV-0157	0..1	Taxable transport charge amount	"The amount before tax charged by shipper for moving goods, by whatever means, from one place to another."		Logistics_ Service Charge. Applied. Trade_ Tax 					 					 
INV-0158	0..1	Insurance charge amount	The amount of premium payable to the insurance company to insure the goods.	Added in 16A.1	Supply Chain_ Consignment. Insurance Premium. Amount 
INV-0159	0..1	Ship to party	The party where the goods were delivered or where the service was completed.	Details see CSC- PAR	Line_ Trade Delivery. Ship To. Trade_ Party 
INV-0160	0..1	Ship from party	Party where goods are shipped from.	Details see CSC- PAR	Line_ Trade Delivery. Ship From. Trade_ Party 
INV-0161	0..1	Pick up place	Party/Place were goods were picked up by the buyer or his representative	Details see CSC- PAR	Line_ Trade Delivery. Actual_ Pick- Up. Supply Chain_ Event 
INV-0162	0..1	Despatch advice document	Reference to despatch advice document (reference, issue date, involved parties, line number etc.)	Details see CSC- REF	Line_ Trade Delivery. Despatch Advice. Referenced_ Document 
INV-0163	0..1	Ultimate Consignee	Party who has been designated on the invoice or packing list as the final recipient of the stated merchandise.	Used in cross- docking scenarios Details see CSC-PAR	Supply Chain_ Consignment. Consignee. Trade_ Party 
INV-0164	0..1	Ultimate Customer	End customer, the final recipient of goods or services.	e.g., to identify the end consumer	Header_ Trade Delivery. Ultimate_ Ship 
 				Mapping into Ultimate_ShipTo. Same mapping applies for 0164 and 0163. Details see CSC-PAR	To. Trade_ Party 
INV-0165	0..*	Receiving advice document	Reference to receiving advice document (reference, issue date, involved parties, line number etc.)	Details see CSC- REF	Line_ Trade Delivery. Receiving Advice. Referenced_ Document 
INV-0166	0..*	Additional document reference	Reference to an additional document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Line_ Trade Delivery. Additional. Referenced_ Document 
INV-0167	0..*	Additional document type	A code specifying a type of additional document [Reference United Nations Code List (UNCL) 1153].		Referenced_ Document. Reference_ Type. Code 					 
INV-0168	0..1	Delivery note document	Reference to delivery note document (reference, issue date, involved parties, line number etc.)	Details see CSC- REF	Line_ Trade Delivery. Delivery Note. Referenced_ Document 					 					 
INV-0169	0..1	Packing list document	Reference to packing list document (reference, issue date, involved parties, line number etc.)	"Details see CSC- REF Added in 16A.1"	Line_ Trade Delivery. Packing List. Referenced_ Document 
INV-0170	0..1	Delivery date/period	A date, time, date time, or other date time value of an occurrence of this event.	Also applicable for service completion date. Includes also the indication of delivery periods.	Line_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event / Supply Chain_ Event. Occurrence. Specified_ Period 
INV-0171	0..1	Despatch Date	Date/time on which the ordered goods or services were dispatched.		Line_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event / Supply Chain_ Event. Occurrence. Date Time 
INV-0172	0..1	Pick up date	Date/time on which the ordered goods were picked up.		Line_ Trade Delivery. Actual_ Pick- Up. Supply Chain_ Event / Supply Chain_ Event. Occurrence. Date Time 
INV-0173	0..1	Requested Delivery Date	Date on which buyer requests goods or services to be delivered.	e.g., for calculation of penalties	Line_ Trade Delivery. Requested_ Delivery. Supply Chain_ Event / Supply Chain_ Event. Occurrence. Date Time 
INV-0174	0..1	Receiving Date	Date/time of receipt.		Line_ Trade Delivery. Actual_ Receipt. Supply Chain_ Event / Supply Chain_ Event. Occurrence. Date Time 
INV-0310	0..1	Consignment item tariff quantity	The tariff quantity specified for this consignment item.	Added in 12B.	Supply Chain_ Consignment Item. Tariff. Quantity 					 	Grouping of Line Trade Settlement Details				 
INV-0175	0..1	Invoice line item amount	The monetary amount of the invoice line, without all allowances and charges related to the invoice line and before tax or fee.		Trade Settlement Line_ Monetary Summation. Line Total. Amount 
INV-0176	0..1	Invoice line item amount without tax	"The monetary value that constitutes the line total without tax. This total is the total of items plus total of allowance/charges."	If the price given is a gross price, the Item Amount is calculated = (Quantity * Unit Gross Price) + Charges – Allowances. If applicable, allowances and charges must be provided. If the price given is a net price, the Item Amount is calculated = Quantity * Unit Net Price.	Trade Settlement Line_ Monetary Summation. Net_ Line Total. Amount 
INV-0177	0..1	Invoice line item total amount	"The total amount of the invoice line, being the sum of Invoice line item amount, Invoice item allowances/charges amounts and tax/fee amount."		Trade Settlement Line_ Monetary Summation. Line Total. Amount 
INV-0178	0..1	Allowance and / or charge line total amount of the line item	The monetary value that constitutes the allowance charge line total on which the trade settlement is calculated.		Line_ Trade Settlement. Specified. Trade_ Allowance Charge 
INV-0179	0..1	Information amount	Additional amount for information: e.g., shrink amount for vegetables, amount without tobacco tax etc.		Trade Settlement Line_ Monetary Summation. Information. Amount 
INV-0180	0..1	Invoice document	An invoice reference number. The invoice being referred to is a previously sent invoice.	Details see CSC- REF	Line_ Trade Settlement. Invoice. Referenced_ Document 
INV-0255	0..*	Payment Terms	Specifying Payment terms for this document.	Added during TBG 1 review to align with Common BRS. Further details see Common BRS (CSC-PYT).	Line_ Trade Settlement. Specified. Trade_ Payment Terms 
INV-0187	0..1	Payment adjustment reason code	A code specifying a reason for the adjustment.		Financial_ Adjustment. Reason. Code 
INV-0188	0..1	Payment adjustment reason text	A reason, expressed as text, for the adjustment.		Financial_ Adjustment. Reason. Text 
INV-0189	0..1	Payment adjustment actual amount	The actual monetary amount added or subtracted as a result of this adjustment.	Added in 16A.1	Line_ Trade Settlement. Total_ Adjustment. Amount 
INV-0190	0..1	Payment adjustment actual quantity	The actual quantity for the Adjustment		Financial_ Adjustment. Actual. Quantity 
INV-0191	0..1	Payment adjustment actual date time	The actual date, time, date time, or other date time value for the Adjustment		Financial_ Adjustment. Actual. Date Time 
INV-0195	0..1	Indicator not subject to discount	The item concerned is not applicable for discount calculation.	Added in 16A.1	Line_ Trade Settlement. Discount. Indicator 
INV-0196	0..*	Allowance and/or charge details	Details regarding allowances and charges	"Further details see Common BRS (CSC-ALC)"	Line_ Trade Settlement. Specified. Trade_ Allowance Charge 
INV-0197	0..*	Allowance and/or charge rate	Rate per unit which the allowance or charge applies, e.g., the allowance/charge amount is 3 EUR per 10 tons.	Added in 09A.	Line_ Trade Settlement. Specified. Trade_ Allowance Charge. Calculation. Percent 
INV-0198	0..*	Allowance and/or charge rate basis	Basis for the rate per unit which the allowance or charge applies, e.g., the allowance/charge amount is 3 EUR per 10 tons.	Added in 09A.	Line_ Trade Settlement. Specified. Trade_ Allowance Charge. Basis. Amount / Header_ Trade Settlement. Specified. Trade_ Allowance Charge. Unit_ Basis. Amount
 					 
INV-0199	0..*	Freight Charge	Charge for freight	If not included in allowances and charges	Line_ Trade Settlement. Specified. Logistics_ Service Charge 
INV-0200	0..*	Total tax basis amount of the line item	The monetary value that constitutes the total tax basis on which the trade settlement is calculated.		Trade Settlement Line_ Monetary Summation. Tax Basis Total. Amount 
INV-0201	0..*	Tax line total amount of the line item	"The monetary value that constitutes the tax line total on which the trade settlement is calculated."		Trade Settlement Line_ Monetary Summation. Tax Total. Amount 
INV-0202	0..*	Applicable Tax	"A levy or payment for the support of a government required of persons, groups, or businesses within the domain of that government."	Further details see Common BRS (CSC-TAX) Note: Includes Place of Supply	Line_ Trade Settlement. Applicable. Trade_ Tax 
INV-0259	0..*	Calculated Tax	The calculated tax for the invoice	Added in TBG 1 review. Further details see Common BRS (CSC-TAX)	Line_ Trade Settlement. Subtotal_ Calculated. Trade_ Tax 
INV-0260	0..*	Tax scheme	Specifying the tax scheme	Added in TBG 1 review. Further details see Common BRS (CSC-TXS)	Trade_ Tax. Category. Code 
INV-0276	0..*	Payable Accounting Account	A payable accounting account specified for this trade settlement.	"Added during CEFACT Forum Rome 22-Apr- 2009, in agreement with TBG 12"	Line_ Trade Settlement. Payable_ Specified. Trade_ Accounting Account 
INV-0277	0..*	Receivable Accounting Account	A receivable accounting account specified for this	"Added during CEFACT Forum Rome 22-Apr-"	Line_ Trade Settlement. Receivable_ Specified. Trade_ Accounting Account
 			trade settlement.	"2009, in agreement with TBG 12"	 
INV-0278	0..*	Purchase Accounting Account	A purchase accounting account specified for this trade settlement.	"Added during CEFACT Forum Rome 22-Apr- 2009, in agreement with TBG 12"	Line_ Trade Settlement. Purchase_ Specified. Trade_ Accounting Account 
INV-0279	0..*	Sales Accounting Account	A sales accounting account specified for this trade settlement.	Added during CEFACT Forum Rome 22-Apr- 2009, in agreement with TBG 12	Line_ Trade Settlement. Sales_ Specified. Trade_ Accounting Account 
INV-0294	0..1	Financial Card Details	Details to a financial card related to this trade settlement on line level.	"Requirements reflected by CSCFCA in Common BRS. Added during CEFACT Forum Rome 22-Apr- 2009, in agreement with TBG 5"	Line_ Trade Settlement. Specified. Trade Settlement_ Financial Card 
INV-312	0..1	Grand Total. Amoun	The monetary value of the grand total amount to this trade settlement on line level.	Added in 16A	Trade Settlement Line_ Monetary Summation. Grand Total. Amount 	Grouping of Product Details				 
INV-0261	0..1	Product Details	Details regarding the product.	Further details see Common BRS (CSC-PRO including CSC- PIN)	Trade_ Product. Details 
INV-0318	0..*	"Included Referenced Product"	An included product referenced from this trade product.	Added in 16A.1	Trade_ Product. Included. Referenced_ Product 	Valuation Breakdown Statement				 
INV-0254	0..*	"Valuation Breakdown Statement"	Used for describing, asserting or approving the works performed and invoiced in specific sectors.	Realization CCL 09B.1 as requested by TBG 6.	Valuation_ Breakdown Statement. Details 
 			Used alternatively to the Line Section of an invoice.		
