context,id,flag,test,text
cac:AccountingSupplierParty/cac:Party[$accountingSupplierCountry='GR' or $accountingSupplierCountry='EL']/cbc:EndpointID,GR-R-009,fatal,./@schemeID='9933' and u:TinVerification(.),Greek suppliers that send an invoice through the PEPPOL network must use a correct TIN number as an electronic address according to PEPPOL Electronic Address Identifier scheme (schemeID 9933).
cac:AccountingCustomerParty[$isGreekSenderandReceiver]/cac:Party/cbc:EndpointID,GR-R-010,fatal,./@schemeID='9933' and u:TinVerification(.),Greek Suppliers that send an invoice through the PEPPOL network to a greek buyer must use a correct TIN number as an electronic address according to PEPPOL Electronic Address Identifier scheme (SchemeID 9933)
/ubl-invoice:Invoice[$isGreekSender] | /ubl-creditnote:CreditNote[$isGreekSender],GR-S-008-1,warning,count(cac:AdditionalDocumentReference[cbc:DocumentDescription = '##INVOICE-URL##'])=1,"When Supplier is Greek, there should be one invoice url"
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-001,warning,"( ( not(contains(normalize-space(cbc:InvoiceTypeCode),' ')) and contains( ' 380 381 ',concat(' ',normalize-space(cbc:InvoiceTypeCode),' ') ) ) ) or ( ( not(contains(normalize-space(cbc:CreditNoteTypeCode),' ')) and contains( ' 380 381 ',concat(' ',normalize-space(cbc:CreditNoteTypeCode),' ') ) ) )",If seller is icelandic then invoice type should be 380 or 381 窶 Ef seljandi er ﾃｭslenskur ﾃｾﾃ｡ ﾃｦtti gerﾃｰ reiknings (BT-3) aﾃｰ vera sﾃｶlureikningur (380) eﾃｰa kreditreikningur (381).
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-002,fatal,exists(cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID) and cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID = '0196',If seller is icelandic then it shall contain sellers legal id 窶 Ef seljandi er ﾃｭslenskur ﾃｾﾃ｡ skal reikningur innihalda ﾃｭslenska kennitﾃｶlu seljanda (BT-30).
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-003,fatal,exists(cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName) and exists(cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone),If seller is icelandic then it shall contain his address with street name and zip code 窶 Ef seljandi er ﾃｭslenskur ﾃｾﾃ｡ skal heimilisfang seljanda innihalda gﾃｶtuheiti og pﾃｳstnﾃｺmer (BT-35 og BT-38).
ubl-creditnote:CreditNote[$SupplierCountry = 'IS' and $CustomerCountry = 'IS']/cac:AccountingCustomerParty | ubl-invoice:Invoice[$SupplierCountry = 'IS' and $CustomerCountry = 'IS']/cac:AccountingCustomerParty,IS-R-004,fatal,exists(cac:Party/cac:PartyLegalEntity/cbc:CompanyID) and cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID = '0196',If seller and buyer are icelandic then the invoice shall contain the buyers icelandic legal identifier 窶 Ef seljandi og kaupandi eru ﾃｭslenskir ﾃｾﾃ｡ skal reikningurinn innihalda ﾃｭslenska kennitﾃｶlu kaupanda (BT-47).
ubl-creditnote:CreditNote[$SupplierCountry = 'IS' and $CustomerCountry = 'IS']/cac:AccountingCustomerParty | ubl-invoice:Invoice[$SupplierCountry = 'IS' and $CustomerCountry = 'IS']/cac:AccountingCustomerParty,IS-R-005,fatal,exists(cac:Party/cac:PostalAddress/cbc:StreetName) and exists(cac:Party/cac:PostalAddress/cbc:PostalZone),If seller and buyer are icelandic then the invoice shall contain the buyers address with street name and zip code  窶 Ef seljandi og kaupandi eru ﾃｭslenskir ﾃｾﾃ｡ skal heimilisfang kaupanda innihalda gﾃｶtuheiti og pﾃｳstnﾃｺmer (BT-50 og BT-53)
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-006,fatal,exists(cac:PaymentMeans[cbc:PaymentMeansCode = '9']/cac:PayeeFinancialAccount/cbc:ID) and string-length(normalize-space(cac:PaymentMeans[cbc:PaymentMeansCode = '9']/cac:PayeeFinancialAccount/cbc:ID)) = 12 or not(exists(cac:PaymentMeans[cbc:PaymentMeansCode = '9'])),If seller is icelandic and payment means code is 9 then a 12 digit account id must exist  窶 Ef seljandi er ﾃｭslenskur og greiﾃｰslumﾃ｡ti (BT-81) er millifﾃｦrsla (kﾃｳti 9) ﾃｾﾃ｡ skal koma fram 12 stafa reikningnﾃｺmer (BT-84)
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-007,fatal,exists(cac:PaymentMeans[cbc:PaymentMeansCode = '42']/cac:PayeeFinancialAccount/cbc:ID) and string-length(normalize-space(cac:PaymentMeans[cbc:PaymentMeansCode = '42']/cac:PayeeFinancialAccount/cbc:ID)) = 12 or not(exists(cac:PaymentMeans[cbc:PaymentMeansCode = '42'])),If seller is icelandic and payment means code is 42 then a 12 digit account id must exist  窶 Ef seljandi er ﾃｭslenskur og greiﾃｰslumﾃ｡ti (BT-81) er millifﾃｦrsla (kﾃｳti 42) ﾃｾﾃ｡ skal koma fram 12 stafa reikningnﾃｺmer (BT-84)
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-008,fatal,(exists(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI']) and string-length(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI']/cbc:ID) = 10 and (string(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI']/cbc:ID) castable as xs:date)) or not(exists(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI'])),"If seller is icelandic and invoice contains supporting description EINDAGI then the id form must be YYYY-MM-DD 窶 Ef seljandi er ﾃｭslenskur ﾃｾﾃ｡ skal eindagi (BT-122, DocumentDescription = EINDAGI) vera ﾃ｡ forminu YYYY-MM-DD."
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-009,fatal,(exists(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI']) and exists(cbc:DueDate)) or not(exists(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI'])),"If seller is icelandic and invoice contains supporting description EINDAGI invoice must have due date 窶 Ef seljandi er ﾃｭslenskur ﾃｾﾃ｡ skal reikningur sem inniheldur eindaga (BT-122, DocumentDescription = EINDAGI) einnig hafa gjalddaga (BT-9)."
ubl-creditnote:CreditNote[$SupplierCountry = 'IS'] | ubl-invoice:Invoice[$SupplierCountry = 'IS'],IS-R-010,fatal,(exists(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI']) and (cbc:DueDate) <= (cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI']/cbc:ID)) or not(exists(cac:AdditionalDocumentReference[cbc:DocumentDescription = 'EINDAGI'])),"If seller is icelandic and invoice contains supporting description EINDAGI the id date must be same or later than due date 窶 Ef seljandi er ﾃｭslenskur ﾃｾﾃ｡ skal eindagi (BT-122, DocumentDescription = EINDAGI) skal vera sami eﾃｰa sﾃｭﾃｰar en gjalddagi (BT-9) ef eindagi er til staﾃｰar."
cac:AccountingSupplierParty/cac:Party[$supplierCountry = 'IT']/cac:PartyTaxScheme[normalize-space(cac:TaxScheme/cbc:ID) != 'VAT'],IT-R-001,fatal,"matches(normalize-space(cbc:CompanyID),'^[A-Z0-9]{11,16}$')",BT-32 (Seller tax registration identifier) - For Italian suppliers BT-32 minimum length 11 and maximum length shall be 16.  Per i fornitori italiani il BT-32 deve avere una lunghezza tra 11 e 16 caratteri
cac:AccountingSupplierParty/cac:Party[$supplierCountry = 'IT'],IT-R-002,fatal,cac:PostalAddress/cbc:StreetName,BT-35 (Seller address line 1) - Italian suppliers MUST provide the postal address line 1 - I fornitori italiani devono indicare l'indirizzo postale.
cac:AccountingSupplierParty/cac:Party[$supplierCountry = 'IT'],IT-R-003,fatal,cac:PostalAddress/cbc:CityName,BT-37 (Seller city) - Italian suppliers MUST provide the postal address city - I fornitori italiani devono indicare la cittﾃ  di residenza.
cac:AccountingSupplierParty/cac:Party[$supplierCountry = 'IT'],IT-R-004,fatal,cac:PostalAddress/cbc:PostalZone,BT-38 (Seller post code) - Italian suppliers MUST provide the postal address post code - I fornitori italiani devono indicare il CAP di residenza.
cac:AccountingSupplierParty/cac:Party[$supplierCountry = 'NO'],NO-R-001,fatal,"cac:PartyTaxScheme[normalize-space(cac:TaxScheme/cbc:ID) = 'VAT']/substring(cbc:CompanyID, 1, 2)='NO' and matches(cac:PartyTaxScheme[normalize-space(cac:TaxScheme/cbc:ID) = 'VAT']/substring(cbc:CompanyID,3), '^[0-9]{9}MVA$') and u:mod11(substring(cac:PartyTaxScheme[normalize-space(cac:TaxScheme/cbc:ID) = 'VAT']/cbc:CompanyID, 3, 9)) or not(cac:PartyTaxScheme[normalize-space(cac:TaxScheme/cbc:ID) = 'VAT']/substring(cbc:CompanyID, 1, 2)='NO')","For Norwegian suppliers, a VAT number MUST be the country code prefix NO followed by a valid Norwegian organization number (nine numbers) followed by the letters MVA."
cac:AccountingSupplierParty/cac:Party[$supplierCountry = 'NO'],NO-R-002,warning,normalize-space(cac:PartyTaxScheme[normalize-space(cac:TaxScheme/cbc:ID) = 'TAX']/cbc:CompanyID) = 'Foretaksregisteret',"For Norwegian suppliers, most invoice issuers are required to append ""Foretaksregisteret"" to their\n        invoice. """"Dersom selger er aksjeselskap, allmennaksjeselskap eller filial av utenlandsk\n        selskap skal ogsﾃ･ ordet ﾂｫForetaksregisteretﾂｻ fremgﾃ･ av salgsdokumentet, jf.\n        foretaksregisterloven ﾂｧ 10-2."""""""
"//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = 'VAT']/substring(cbc:CompanyID, 1, 2) = 'SE']",SE-R-001,fatal,string-length(normalize-space(cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = 'VAT']/cbc:CompanyID)) = 14,"For Swedish suppliers, Swedish VAT-numbers must consist of 14 characters."
"//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = 'VAT']/substring(cbc:CompanyID, 1, 2) = 'SE']",SE-R-002,fatal,"string(number(substring(cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = 'VAT']/cbc:CompanyID, 3, 12))) != 'NaN'","For Swedish suppliers, the Swedish VAT-numbers must have the trailing 12 characters in numeric form"
//cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity[../cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and cbc:CompanyID],SE-R-003,warning,string(number(cbc:CompanyID)) != 'NaN',Swedish organisation numbers should be numeric.
//cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity[../cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and cbc:CompanyID],SE-R-004,warning,string-length(normalize-space(cbc:CompanyID)) = 10,Swedish organisation numbers consist of 10 characters.
//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and exists(cac:PartyLegalEntity/cbc:CompanyID)]/cac:PartyTaxScheme[normalize-space(upper-case(cac:TaxScheme/cbc:ID)) != 'VAT']/cbc:CompanyID,SE-R-005,fatal,normalize-space(upper-case(.)) = 'GODKﾃНD Fﾃ乏 F-SKATT',"For Swedish suppliers, when using Seller tax registration identifier, 'Godkﾃ､nd fﾃｶr F-skatt' must be stated"
"//cac:TaxCategory[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = 'VAT']/substring(cbc:CompanyID, 1, 2) = 'SE'] and cbc:ID = 'S'] | //cac:ClassifiedTaxCategory[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE' and cac:PartyTaxScheme[cac:TaxScheme/cbc:ID = 'VAT']/substring(cbc:CompanyID, 1, 2) = 'SE'] and cbc:ID = 'S']",SE-R-006,fatal,number(cbc:Percent) = 25 or number(cbc:Percent) = 12 or number(cbc:Percent) = 6,"For Swedish suppliers, only standard VAT rate of 6, 12 or 25 are used"
//cac:PaymentMeans[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE'] and normalize-space(cbc:PaymentMeansCode) = '30' and normalize-space(cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID) = 'SE:PLUSGIRO']/cac:PayeeFinancialAccount/cbc:ID,SE-R-007,warning,string(number(normalize-space(.))) != 'NaN',"For Swedish suppliers using Plusgiro, the Account ID must be numeric"
//cac:PaymentMeans[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE'] and normalize-space(cbc:PaymentMeansCode) = '30' and normalize-space(cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID) = 'SE:BANKGIRO']/cac:PayeeFinancialAccount/cbc:ID,SE-R-008,warning,string(number(normalize-space(.))) != 'NaN',"For Swedish suppliers using Bankgiro, the Account ID must be numeric"
//cac:PaymentMeans[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE'] and normalize-space(cbc:PaymentMeansCode) = '30' and normalize-space(cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID) = 'SE:BANKGIRO']/cac:PayeeFinancialAccount/cbc:ID,SE-R-009,warning,string-length(normalize-space(.)) = 7 or string-length(normalize-space(.)) = 8,"For Swedish suppliers using Bankgiro, the Account ID must have 7-8 characters"
//cac:PaymentMeans[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE'] and normalize-space(cbc:PaymentMeansCode) = '30' and normalize-space(cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID) = 'SE:PLUSGIRO']/cac:PayeeFinancialAccount/cbc:ID,SE-R-010,warning,string-length(normalize-space(.)) >= 2 and string-length(normalize-space(.)) <= 8,"For Swedish suppliers using Plusgiro, the Account ID must have 2-8 characters"
//cac:PaymentMeans[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE'] and (cbc:PaymentMeansCode = normalize-space('50') or cbc:PaymentMeansCode = normalize-space('56'))],SE-R-011,warning,false(),"For Swedish suppliers using Swedish Bankgiro or Plusgiro, the proper way to indicate this is to use Code 30 for PaymentMeans and FinancialInstitutionBranch ID with code SE:BANKGIRO or SE:PLUSGIRO"
//cac:PaymentMeans[//cac:AccountingSupplierParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE']  and //cac:AccountingCustomerParty/cac:Party[cac:PostalAddress/cac:Country/cbc:IdentificationCode = 'SE'] and (cbc:PaymentMeansCode = normalize-space('31'))],SE-R-012,warning,false(),"For domestic transactions between Swedish trading partners, credit transfer should be indicated by PaymentMeansCode=""30"""
